name	wt 15' 0.4M - wt 0
YPL123C	2.3312401963
YDR173C	2.3296416453
YKL032C	2.3209443245
YBR006W	2.3014409669
YFR014C	2.2975078471
YML070W	2.2967984371
YML004C	2.2934764803
YJL155C	2.284452862
YIL107C	2.2770272506
YKL217W	2.2763346452
YGR149W	2.2731473176
YGR174W-A	2.2616459372
YDL020C	2.2597618016
YDL021W	2.2570673767
YCR010C	2.2504723905
YLR152C	2.2459383614
YMR261C	2.2399575888
YHR161C	2.2394249728
YGR023W	2.2257595197
YPL247C	2.2211413607
YER096W	2.2160415016
YAL021C	2.2113925387
YFL016C	2.2109462665
YPL221W	2.2100224763
YKL208W	2.2063016498
YLL039C	2.2039491601
YOR018W	2.1915618695
YMR139W	2.1901232191
YDR523C	2.1882584591
YJR059W	2.1833708934
YER056C-A	2.1754115194
YER048W-A	2.1684584527
YOL048C	2.1675463998
YBR298C	2.1674552235
YKR091W	2.1648216468
YLR120C	2.1600194473
YDL199C	2.1563836541
YDR072C	2.1548300988
YBR189W	2.1523930967
YLR417W	2.1522128059
YDR289C	2.1495107391
YGL229C	2.1459873801
YOR193W	2.1428335315
YOR065W	2.1383108754
YGR289C	2.1343521707
YBR005W	2.1323646018
YMR073C, YMR074C	2.1308173657
YBL039W-B	2.1291040732
YKR005C	2.1242917307
YJR036C	2.1197628374
YMR262W	2.1196267067
YPL166W	2.1108024613
YOL117W	2.1056283329
YBR128C	2.1013121056
YBR203W	2.0952949275
YPR149W	2.0934575368
YMR009W	2.0850263796
YLR099C	2.0791625058
YKR004C	2.0763019415
YER175C	2.0636505973
YJL163C	2.0605935838
YNL011C	2.0578071572
YNR002C	2.0563657119
YPR065W	2.0547917496
YNR007C	2.0449632811
YMR256C	2.0415221796
YKL201C	2.0392195088
YIR014W	2.0352508979
YGL103W	2.0096134579
YLR164W	2.0047742648
YDL216C	2.0020816004
YNL092W	1.9996227118
YMR251W	1.9963678964
YGR161W-C	1.9963311539
YDR185C	1.9955622531
YBR048W	1.992431661
YCL026C-B	1.9869946162
YOR319W	1.9857466662
YPL257W	1.9857038972
YDR058C	1.9803453189
YNL159C	1.9787769618
YDR273W	1.9712962832
YBL087C	1.9688152462
YBL092W	1.9641984166
YIL155C	1.9638656179
YIL111W	1.9592214156
YGR127W	1.9509448843
YHR171W	1.9460672768
YDR391C	1.9427245934
YGL146C	1.9398615769
YDR247W	1.9396964384
YBR056W	1.932009019
YOR317W	1.9271225612
YGL036W	1.9194472388
YIL007C	1.9113783952
YBL086C	1.9061948971
YKL028W	1.9048877594
YIL017C	1.9047371722
YNL015W	1.9046338901
YJR110W	1.9045873044
YHR209W	1.9035293081
YKR075C	1.8988811515
YMR180C	1.8965310775
YOR219C	1.8923778279
YEL036C	1.8867245887
YDL025C	1.8839723935
YKR089C	1.8822263424
YBR001C	1.8702023004
YGL166W	1.8698246638
YGR110W	1.8692178263
YLR350W	1.8665548647
YPL203W	1.8565824896
YGL045W	1.8553318704
YOR349W	1.8544907516
YGR194C	1.8536568434
YMR107W	1.8519864033
YLR352W	1.8505964517
YKL051W	1.8492313726
YKL103C	1.8475581261
YLR177W	1.8465812377
YMR140W	1.8437366082
YNR059W	1.8437351519
YOR298C-A	1.8412903252
YOR185C	1.8370707727
YOL053W	1.8338476467
YDR501W	1.8319454457
YGR016W	1.8310615239
YDL184C	1.8281369854
YLL020C, YLL019C, YLL018C-A	1.8238496823
YPL229W	1.8234463741
YLR176C	1.822111457
YLR392C	1.8215954057
YPL240C	1.8162755436
YPL272C	1.8144576493
YPL065W	1.8143409534
YMR197C	1.8133466901
YDR406W, YDR406W-A	1.8130113942
YGL121C	1.8104567946
YNL223W	1.8087028592
YGR230W	1.8049300648
YDR130C	1.8008124982
YIL077C	1.8001638944
YDL113C	1.8000970995
YGR130C	1.7976933971
YBR135W	1.7963542355
YDL019C	1.7865593801
YGL157W	1.7854922144
YOL100W	1.7817905421
YBR289W	1.77969992
YPR101W	1.7795374191
YLR254C	1.7792167543
YDR368W	1.7791536034
YNL193W	1.7738464809
YDR330W	1.7731632755
YKL095W	1.7692837402
YPL113C	1.767490237
YHR181W	1.7661741823
YDR063W	1.7654178802
YER075C	1.7643243512
YGL127C	1.7633899625
YNL214W	1.7621657179
YLR227C	1.7619582787
YKL148C	1.7587326994
YMR102C	1.7543985485
YHR002W	1.7482408287
YJL070C	1.7446694084
YER065C	1.7409972678
YKL007W	1.7375265098
YKL162C	1.7344501056
YDR079W	1.7329008023
YBR290W	1.7259597538
YMR025W	1.7245836083
YKL150W	1.7215410597
YMR174C	1.7213340045
YBR054W	1.7189132969
YPL060W	1.714437664
YGL031C	1.7094052656
YDR228C	1.7071698882
YGR237C	1.705995717
YLR437C	1.705827124
YGL139W	1.7051324639
YAL060W	1.7045937666
YLR061W	1.7038769298
YNL025C	1.6982974612
YNL157W	1.6981479217
YDR145W	1.6979173641
YHR140W	1.6965193359
YGR236C	1.6948950878
YPL156C	1.6944540064
YDR210W	1.6910952502
YGR183C	1.6902708565
YDL010W	1.6894920162
YIL053W	1.6876747557
YER139C	1.6852070852
YHL044W	1.6835006606
YOR369C	1.6833641703
YOL105C	1.6832375801
YOL009C	1.6828962218
YHR195W	1.6822680186
YDR305C	1.6776555911
YHR001W-A	1.6754827686
YOR280C	1.6730385235
YOR352W	1.6697481855
YCR021C	1.6661182534
YHR198C	1.6660684987
YNL008C	1.6654383809
YLR262C-A	1.6653134983
YOL108C	1.6649817416
YDR005C	1.6640579887
YDL215C	1.6638014556
YKR076W	1.6623029958
YGR205W	1.6619407609
YOL089C	1.6612232315
YOL114C	1.6610280876
YMR068W	1.6591177095
YDL085C-A	1.6579558575
YPR200C	1.6572787802
YMR284W	1.655743211
YIL089W	1.6557357518
YDL106C	1.6516430194
YOR020W-A	1.6501178513
YPL026C	1.6496128754
YPR067W	1.6489508108
YOL014W	1.6475900897
YOR027W	1.6471067883
YOL083W	1.6470697808
YPL119C	1.6453778674
YNR052C	1.6432178444
YOR114W	1.6421935243
YPL089C	1.6415326248
