ensembl_transcript_id	ensembl_gene_id	external_gene_name
ENST00000215855	ENSG00000100053	CRYBB3
ENST00000215882	ENSG00000100075	SLC25A1
ENST00000215885	ENSG00000100078	PLA2G3
ENST00000215886	ENSG00000100079	LGALS2
ENST00000215904	ENSG00000241360	PDXP
ENST00000215906	ENSG00000128203	ASPHD2
ENST00000215909	ENSG00000100097	LGALS1
ENST00000215912	ENSG00000100100	PIK3IP1
ENST00000215917	ENSG00000100104	SRRD
ENST00000215939	ENSG00000100122	CRYBB1
ENST00000215941	ENSG00000100124	ANKRD54
ENST00000215957	ENSG00000100139	MICALL1
ENST00000215980	ENSG00000100162	CENPM
ENST00000216014	ENSG00000100196	KDELR3
ENST00000216024	ENSG00000100206	DMC1
ENST00000216027	ENSG00000100209	HSCB
ENST00000216034	ENSG00000100216	TOMM22
ENST00000216036	ENSG00000100218	RSPH14
ENST00000216037	ENSG00000100219	XBP1
ENST00000216038	ENSG00000100220	RTCB
ENST00000216039	ENSG00000100221	JOSD1
ENST00000216044	ENSG00000100226	GTPBP1
ENST00000216068	ENSG00000100246	DNAL4
ENST00000216071	ENSG00000100249	C22orf31
ENST00000216075	ENSG00000100253	MIOX
ENST00000216085	ENSG00000100263	RHBDD3
ENST00000216099	ENSG00000243811	APOBEC3D
ENST00000216101	ENSG00000100276	RASL10A
ENST00000216106	ENSG00000100281	HMGXB4
ENST00000216115	ENSG00000100290	BIK
ENST00000216117	ENSG00000100292	HMOX1
ENST00000216121	ENSG00000184117	NIPSNAP1
ENST00000216122	ENSG00000100297	MCM5
ENST00000216127	ENSG00000100302	RASD2
ENST00000216129	ENSG00000100304	TTLL12
ENST00000216133	ENSG00000100307	CBX7
ENST00000216139	ENSG00000100312	ACR
ENST00000216144	ENSG00000100314	CABP7
ENST00000216146	ENSG00000100316	RPL3
ENST00000216160	ENSG00000100324	TAB1
ENST00000216180	ENSG00000100344	PNPLA3
ENST00000216181	ENSG00000100345	MYH9
ENST00000216185	ENSG00000100348	TXN2
ENST00000216190	ENSG00000100353	EIF3D
ENST00000216211	ENSG00000100373	UPK3A
ENST00000216214	ENSG00000100376	FAM118A
ENST00000216218	ENSG00000100380	ST13
ENST00000216223	ENSG00000100385	IL2RB
ENST00000216225	ENSG00000100387	RBX1
ENST00000216237	ENSG00000100395	L3MBTL2
ENST00000216241	ENSG00000100399	CHADL
ENST00000216252	ENSG00000100410	PHF5A
ENST00000216254	ENSG00000100412	ACO2
ENST00000216259	ENSG00000100417	PMM1
ENST00000216264	ENSG00000100422	CERK
ENST00000216267	ENSG00000100425	BRD1
ENST00000216268	ENSG00000100426	ZBED4
ENST00000216271	ENSG00000100429	HDAC10
ENST00000216274	ENSG00000129465	RIPK3
ENST00000216277	ENSG00000090060	PAPOLA
ENST00000216281	ENSG00000080824	HSP90AA1
ENST00000216286	ENSG00000087303	NID2
ENST00000216294	ENSG00000023608	SNAPC1
ENST00000216297	ENSG00000092201	SUPT16H
ENST00000216330	ENSG00000100442	FKBP3
ENST00000216336	ENSG00000100448	CTSG
ENST00000216338	ENSG00000100450	GZMH
ENST00000216341	ENSG00000100453	GZMB
ENST00000216361	ENSG00000100473	COCH
ENST00000216367	ENSG00000100479	POLE2
ENST00000216373	ENSG00000100485	SOS2
ENST00000216392	ENSG00000100504	PYGL
ENST00000216407	ENSG00000256075	AC008033.1
ENST00000216410	ENSG00000100522	GNPNAT1
ENST00000216416	ENSG00000100528	CNIH1
ENST00000216420	ENSG00000100532	CGRRF1
ENST00000216442	ENSG00000100554	ATP6V1D
ENST00000216445	ENSG00000100557	C14orf105
ENST00000216446	ENSG00000100558	PLEK2
ENST00000216452	ENSG00000100564	PIGH
ENST00000216455	ENSG00000100567	PSMA3
ENST00000216465	ENSG00000100577	GSTZ1
ENST00000216468	ENSG00000100580	TMED8
ENST00000216471	ENSG00000100583	SAMD15
ENST00000216479	ENSG00000100591	AHSA1
ENST00000216484	ENSG00000100596	SPTLC2
ENST00000216487	ENSG00000100599	RIN3
ENST00000216489	ENSG00000100601	ALKBH1
ENST00000216492	ENSG00000100604	CHGA
ENST00000216500	ENSG00000100612	DHRS7
ENST00000216513	ENSG00000100625	SIX4
ENST00000216540	ENSG00000100652	SLC10A1
ENST00000216554	ENSG00000100664	EIF5
ENST00000216605	ENSG00000100714	MTHFD1
ENST00000216629	ENSG00000100739	BDKRB1
ENST00000216639	ENSG00000100749	VRK1
ENST00000216727	ENSG00000100836	PABPN1
ENST00000216733	ENSG00000100842	EFS
ENST00000216756	ENSG00000100865	CINP
ENST00000216780	ENSG00000100889	PCK2
ENST00000216797	ENSG00000100906	NFKBIA
ENST00000216802	ENSG00000100911	PSME2
ENST00000216807	ENSG00000100916	BRMS1L
ENST00000216832	ENSG00000100941	PNN
ENST00000216862	ENSG00000019186	CYP24A1
ENST00000216877	ENSG00000132670	PTPRA
ENST00000216879	ENSG00000088833	NSFL1C
ENST00000216951	ENSG00000100983	GSS
ENST00000216962	ENSG00000100994	PYGB
ENST00000216968	ENSG00000101000	PROCR
ENST00000217026	ENSG00000101057	MYBL2
ENST00000217043	ENSG00000101074	R3HDML
ENST00000217073	ENSG00000101104	PABPC1L
ENST00000217086	ENSG00000101115	SALL4
ENST00000217109	ENSG00000101138	CSTF1
ENST00000217131	ENSG00000101160	CTSZ
ENST00000217133	ENSG00000101162	TUBB1
ENST00000217169	ENSG00000101197	BIRC7
ENST00000217173	ENSG00000185019	UBOX5
ENST00000217188	ENSG00000125508	SRMS
ENST00000217233	ENSG00000101255	TRIB3
ENST00000217246	ENSG00000172264	MACROD2
ENST00000217254	ENSG00000101276	SLC52A3
ENST00000217260	ENSG00000101282	RSPO4
ENST00000217270	ENSG00000101292	PROKR2
ENST00000217289	ENSG00000101311	FERMT1
ENST00000217305	ENSG00000101327	PDYN
ENST00000217381	ENSG00000101400	SNTA1
ENST00000217386	ENSG00000101405	OXT
ENST00000217402	ENSG00000101421	CHMP4B
ENST00000217407	ENSG00000129988	LBP
ENST00000217420	ENSG00000101438	SLC32A1
ENST00000217423	ENSG00000101441	CST4
ENST00000217426	ENSG00000101444	AHCY
ENST00000217428	ENSG00000101446	SPINT3
ENST00000217446	ENSG00000101464	PIGU
ENST00000217455	ENSG00000101473	ACOT8
ENST00000217456	ENSG00000101474	APMAP
ENST00000217515	ENSG00000091164	TXNL1
ENST00000217740	ENSG00000101695	RNF125
ENST00000217901	ENSG00000067829	IDH3G
ENST00000217909	ENSG00000077713	SLC25A43
ENST00000217926	ENSG00000123569	H2BFWT
ENST00000217939	ENSG00000101825	MXRA5
ENST00000217957	ENSG00000101842	VSIG1
ENST00000217958	ENSG00000101843	PSMD10
ENST00000217961	ENSG00000101846	STS
ENST00000217971	ENSG00000101856	PGRMC1
ENST00000217999	ENSG00000101883	RHOXF1
ENST00000218006	ENSG00000101890	GUCY2F
ENST00000218008	ENSG00000101892	ATP1B4
ENST00000218075	ENSG00000101958	GLRA2
ENST00000218099	ENSG00000101981	F9
ENST00000218104	ENSG00000101986	ABCD1
ENST00000218147	ENSG00000085185	BCORL1
ENST00000218176	ENSG00000102057	KCND1
ENST00000218230	ENSG00000102109	PCSK1N
ENST00000218249	ENSG00000102128	RAB40AL
ENST00000218316	ENSG00000102195	GPR50
ENST00000218340	ENSG00000102218	RP2
ENST00000218348	ENSG00000102226	USP11
ENST00000218364	ENSG00000102241	HTATSF1
ENST00000218388	ENSG00000102265	TIMP1
ENST00000218436	ENSG00000102313	ITIH6
ENST00000218516	ENSG00000102393	GLA
ENST00000218652	ENSG00000102471	NDFIP2
ENST00000218721	ENSG00000102539	MLNR
ENST00000218758	ENSG00000102575	ACP5
ENST00000218867	ENSG00000102683	SGCG
ENST00000219022	ENSG00000102837	OLFM4
ENST00000219066	ENSG00000065057	NTHL1
ENST00000219069	ENSG00000006194	ZNF263
ENST00000219070	ENSG00000087245	MMP2
ENST00000219097	ENSG00000091651	ORC6
ENST00000219150	ENSG00000102879	CORO1A
ENST00000219162	ENSG00000102891	MT4
ENST00000219169	ENSG00000102898	NUTF2
ENST00000219197	ENSG00000102924	CBLN1
ENST00000219204	ENSG00000102931	ARL2BP
ENST00000219207	ENSG00000102934	PLLP
ENST00000219235	ENSG00000102962	CCL22
ENST00000219240	ENSG00000102967	DHODH
ENST00000219244	ENSG00000102970	CCL17
ENST00000219251	ENSG00000102977	ACD
ENST00000219252	ENSG00000102978	POLR2C
ENST00000219255	ENSG00000102981	PARD6A
ENST00000219271	ENSG00000102996	MMP15
ENST00000219281	ENSG00000103005	USB1
ENST00000219299	ENSG00000103021	CCDC113
ENST00000219302	ENSG00000103024	NME3
ENST00000219313	ENSG00000103035	PSMD7
ENST00000219334	ENSG00000103056	SMPD3
ENST00000219343	ENSG00000103064	SLC7A6
ENST00000219345	ENSG00000103066	PLA2G15
ENST00000219368	ENSG00000103089	FA2H
ENST00000219400	ENSG00000103121	CMC2
ENST00000219406	ENSG00000185615	PDIA2
ENST00000219409	ENSG00000242173	ARHGDIG
ENST00000219431	ENSG00000103152	MPG
ENST00000219439	ENSG00000103160	HSDL1
ENST00000219454	ENSG00000103175	WFDC1
ENST00000219473	ENSG00000103194	USP10
ENST00000219476	ENSG00000103197	TSC2
ENST00000219478	ENSG00000103199	ZNF500
ENST00000219479	ENSG00000103202	NME4
ENST00000219481	ENSG00000242612	DECR2
ENST00000219548	ENSG00000103266	STUB1
ENST00000219596	ENSG00000103313	MEFV
ENST00000219599	ENSG00000103316	CRYM
ENST00000219611	ENSG00000103326	CAPN15
ENST00000219660	ENSG00000103375	AQP8
ENST00000219689	ENSG00000103404	USP31
ENST00000219746	ENSG00000103460	TOX3
ENST00000219782	ENSG00000103495	MAZ
ENST00000219789	ENSG00000103502	CDIPT
ENST00000219821	ENSG00000103534	TMC5
ENST00000219837	ENSG00000103550	KNOP1
ENST00000219919	ENSG00000103569	AQP9
ENST00000220003	ENSG00000103653	CSK
ENST00000220058	ENSG00000103707	MTFMT
ENST00000220062	ENSG00000103710	RASL12
ENST00000220166	ENSG00000103811	CTSH
ENST00000220244	ENSG00000103888	CEMIP
ENST00000220325	ENSG00000103966	EHD4
ENST00000220420	ENSG00000104055	TGM5
ENST00000220478	ENSG00000104112	SCG3
ENST00000220496	ENSG00000104129	DNAJC17
ENST00000220507	ENSG00000104140	RHOV
ENST00000220509	ENSG00000104142	VPS18
ENST00000220514	ENSG00000104147	OIP5
ENST00000220531	ENSG00000104164	BLOC1S6
ENST00000220562	ENSG00000012232	EXTL3
ENST00000220584	ENSG00000079459	FDFT1
ENST00000220592	ENSG00000123908	AGO2
ENST00000220597	ENSG00000076641	PAG1
ENST00000220616	ENSG00000042832	TG
ENST00000220659	ENSG00000104221	BRF2
ENST00000220669	ENSG00000104231	ZFAND1
ENST00000220751	ENSG00000104312	RIPK2
ENST00000220763	ENSG00000104324	CPQ
ENST00000220764	ENSG00000104325	DECR1
ENST00000220772	ENSG00000104332	SFRP1
ENST00000220812	ENSG00000104371	DKK4
ENST00000220822	ENSG00000104381	GDAP1
ENST00000220849	ENSG00000104408	EIF3E
ENST00000220853	ENSG00000104412	EMC2
ENST00000220876	ENSG00000104435	STMN2
ENST00000220913	ENSG00000104472	CHRAC1
ENST00000220931	ENSG00000104490	NCALD
ENST00000220940	ENSG00000104499	GML
ENST00000220966	ENSG00000104524	PYCR3
ENST00000221086	ENSG00000104643	MTMR9
ENST00000221114	ENSG00000104671	DCTN6
ENST00000221130	ENSG00000104687	GSR
ENST00000221132	ENSG00000104689	TNFRSF10A
ENST00000221138	ENSG00000104695	PPP2CB
ENST00000221166	ENSG00000104722	NEFM
