	upregulated_Hog1_independent	upregulated_Hog1_dependent	MeanDecreaseAccuracy	MeanDecreaseGini
Broad_conservation	2.07143658996447	-0.6240495559299	1.47454609171286	7.87684987594236
cpb	2.16281947033359	-1.6637267063251	1.16015767881594	10.5588836553124
Disorder	-0.622603958031241	-0.957832356879379	-1.04080286830345	10.3444935746934
DM	-0.583770037781811	5.53934619309804	3.11961709767313	13.0650940490574
gc_CDS	-0.321216912291276	0.606541535971534	-0.0294589745185098	11.5357169370366
gc_UTR3	-0.288708243471206	-0.110529698737488	-0.328228183902843	9.3441502473151
gc_UTR5	1.08469688030266	2.95703883032078	2.70832062401826	11.4663128403618
halfLife	7.93298404758976	2.57180371977434	7.93784086093509	13.3020884296487
length_CDS	2.53218905653918	0.315963540655141	2.38460994186649	10.2171841465148
length_UTR3	0.776417164008246	5.71213153415446	3.98202947460122	10.1974678245114
length_UTR5	-1.69503751909337	1.81329684495593	-0.386634115887872	9.14756604626741
nTf	4.22750503900589	11.331909217198	10.5134708575395	17.0264762610221
PPI_degree	0.53941588458934	-1.22320999191832	-0.387372375629304	6.7274572887892
