	(Intercept)	Broad_conservation	cpb	Disorder	DM	gc_CDS	gc_UTR3	gc_UTR5	halfLife	length_CDS	length_UTR3	length_UTR5	nTf	PPI_degree
downregulated	-0.0127033312863732	0.383222006160651	0.315544253280002	0.0122643272205589	-0.114095039321592	-0.0629738317970472	-0.215840867949444	-0.0946844170475839	-0.660940059439907	0.129420805979731	-0.0431848500552984	-0.280067417434094	0.683724725372852	0.280946554848556
upregulated	-0.437656533873615	-0.348077556237386	-0.355050508316612	-0.132554921871878	-0.0333901863784292	0.158228715325614	-0.0702981881410151	-0.07341584070947	0.0519645520619462	0.280122403778532	0.0656994547311864	0.0362483218528091	0.787192662525896	-0.116943557061754
downregulated_standardErrors	0.0768733106864292	0.0785835103499182	0.0866320099172287	0.0769350367700888	0.0855764931814509	0.0873864139111491	0.0797696498065619	0.0754263220039573	0.106413774976808	0.0903834796207642	0.0685211063500183	0.0862857632534621	0.0990113041503164	0.0891673349086293
upregulated_standardErrors	0.0866938666108547	0.0902787377155006	0.0949161669124915	0.0829410547032989	0.0889395876932968	0.090366772891922	0.0833747727937567	0.0814616755423201	0.101659514133393	0.0962316307826792	0.0650545375920336	0.0798653650496604	0.104376398322914	0.116788792234395
downregulated_pValue	0.868747040944214	1.07918434966159e-06	0.000270158564694922	0.873344703587596	0.182449086770567	0.471133244741611	0.00681396856944727	0.209361431704673	5.26355625751762e-10	0.152170220693331	0.528536541307597	0.00117115906744059	5.00199881514618e-12	0.00162835722544163
upregulated_pValue	4.45761827672086e-07	0.000115452111039582	0.000183526897025166	0.110002421646162	0.707344066643694	0.0799525894164024	0.399139538026289	0.367465163277847	0.609237132386653	0.00360368369149855	0.312536741699887	0.649923941841401	4.64073224293315e-14	0.316669628821811
