	(Intercept)	Broad_conservation	Co.expression_degree	cpb	Disorder	DM	gc_CDS	gc_UTR3	gc_UTR5	halfLife	length_CDS	length_UTR3	length_UTR5	nTf	PPI_degree
downregulated	-4.48452586326631	-0.00145811119157553	0.00612457204595776	23.4060836034673	-0.728868253237598	1.31407634379806	3.64397135045926	-2.58515619492792	-0.239800392389134	-0.233696321621223	0.000231529884609008	0.000488078391734966	-0.00116352355259692	0.0439479193363537	0.0076397914164448
upregulated	-7.39546191925314	-0.0236076478916304	0.00552126924496318	-30.3966756992575	-1.34828802507463	1.51142477364083	9.91096188884439	-0.132893050140085	-0.251338114713227	-0.045929437407189	0.00035505810315665	0.00133619976662796	0.00213812837308171	0.0522606526350043	-0.0193075126383019
downregulated_standardErrors	0.108401918091099	0.00328102816547987	0.000319455504040631	0.00116886557686656	0.0643429926651452	0.00947413606598386	0.0434445875896929	0.0319975329929894	0.0462676830097983	0.0281194653262235	8.49165812660644e-05	0.000639214308938383	0.00119126881500007	0.00594545867571306	0.00758038277520867
upregulated_standardErrors	0.105413819244622	0.00359062992051228	0.000321988248510924	0.000508134583124393	0.0606553555091399	0.010388088727716	0.042626138272462	0.0327367597986291	0.0456999888018385	0.0268252621466267	8.64161721178146e-05	0.000584448049373135	0.00109019067620941	0.00590063957282336	0.00942599963145753
downregulated_pValue	0	0.656748505955513	0	0	0	0	0	0	2.18471854163127e-07	0	0.00639989308151523	0.445129574158266	0.328712997327747	1.4477308241112e-13	0.313532645237825
upregulated_pValue	0	4.87210272126504e-11	0	0	0	0	0	4.91896577108353e-05	3.80348925688168e-08	0.0868651498223856	3.97893003987182e-05	0.0222390955729006	0.0498507321017247	0	0.0405281447609283
