	(Intercept)	Broad_conservation	cpb	Disorder	DM	gc_CDS	gc_UTR3	gc_UTR5	halfLife	length_CDS	length_UTR3	length_UTR5	nTf	PPI_degree
downregulated	-2.02768534350203	0.482108184598617	0.318027281910848	0.0764848093721387	-0.12473697301194	-0.0809734926894017	-0.165493384429557	-0.0678876179298206	-0.621813176770283	-0.0169349687347329	0.0136275799893451	-0.298942942179626	0.625567417298917	0.161435171599306
upregulated	-2.42035836476517	-0.303181868744863	-0.296949266120823	-0.100557517410594	0.0526669865886515	0.101453072403118	-0.0661495208683072	-0.038397830015711	0.107011909583728	0.104658755939434	0.131945869080466	0.00561863573776659	0.624086526878217	-0.218769046070514
downregulated_standardErrors	0.0587875484515712	0.0553178248193062	0.0586763830019109	0.0543444569000765	0.0536315866136441	0.0609395747464446	0.0567892550545266	0.0517570168031721	0.0754740474895386	0.056922353852899	0.0592689463613096	0.0661651392624005	0.0570600149879356	0.0425182482127487
upregulated_standardErrors	0.0695281390300984	0.071069836898244	0.0670966715846591	0.0628220682157116	0.0579476361224465	0.0656107986307993	0.062975287941867	0.0627901448989529	0.0676441864804722	0.0627188631110263	0.0519003585429436	0.0570662435465585	0.0621136888555794	0.0863484060832465
downregulated_pValue	0	0	5.9591729106856e-08	0.159306516823418	0.0200285968344778	0.183930285685398	0.00356638838110657	0.189634818294227	2.22044604925031e-16	0.766077184741158	0.818147853463994	6.2387102170991e-06	0	0.000146549725918099
upregulated_pValue	0	1.99034564896117e-05	9.61331860982462e-06	0.109449614723584	0.363417671151989	0.122035463625433	0.293532213896372	0.540851159544453	0.113653598143982	0.0951775160097472	0.0110128110208545	0.921568516225458	0	0.0112909743012153
