	unresponsive	downregulated	upregulated	MeanDecreaseAccuracy	MeanDecreaseGini
Broad_conservation	15.5371000954571	26.6172702492094	6.80405996597769	25.0636166440126	104.294342418909
cpb	15.4967993524194	8.46907227168707	1.84344072741282	17.3858721216472	109.316850935726
Disorder	13.1458659207822	0.589825718340422	0.33869930775799	11.8380075015764	107.973801653308
DM	8.56625531400877	2.61600312990999	8.45200676067679	11.2454917366858	118.688574084671
gc_CDS	15.7589350512154	-1.28478284711704	-0.357084771671801	13.727056118515	106.605119071685
gc_UTR3	6.52416207522639	3.67593618221651	-1.60011930605769	6.79255093673753	105.745609874762
gc_UTR5	4.64585819399107	-0.134141125940003	-1.16106772399441	3.88727754041165	100.332589524001
halfLife	35.7882201225973	-1.81465417565067	9.71554379488194	36.5454100803088	126.082436729051
length_CDS	22.768013573393	3.11677072052715	-0.490027743320347	21.4220956454268	107.197200998902
length_UTR3	5.05976000489069	0.0298570991473512	1.58987978113204	5.17568003013905	98.9949070718497
length_UTR5	14.547178714555	8.37883508031323	0.289663934561951	16.1684289774319	106.717750026139
nTf	35.6661160427929	22.7432264574209	22.8841922317102	47.4913751375925	144.273583446134
PPI_degree	4.56766110841353	18.0699512723045	3.04249674795136	12.3339228784458	81.1943825452334
