ensembl_gene_id	RNASeq	Gasch	Tilings
YAL001C	0.60131033671313	0.06	-1.1327420467
YAL002W	1.12842171123073	0.07	1.1137272664
YAL003W	-1.50560394176238	-1.4	1.1114843461
YAL005C	2.31860604501353	0.26	1.1840635899
YAL007C	-0.479552163674978	-0.43	-1.2606329091
YAL008W	1.02345024495257	0.17	-1.0288458157
YAL009W	0.298475116378898	-0.02	-1.326362604
YAL010C	0.636880146269075	0.51	1.1771469403
YAL011W	-0.424577777734936	-0.17	-1.3394528954
YAL012W	-0.896004293851596	0.08	-1.4093221225
YAL013W	0.0218022505041549	-0.23	-1.7773835873
YAL014C	0.0404778565605675	-0.12	-1.036564599
YAL015C	0.591708706115586	0.15	-1.0504679398
YAL016W	0.68533400988697	0.41	1.0618947341
YAL017W	1.61066119875784	0.12	1.1990381913
YAL020C	0.169929349442163	0.01	-1.3998658723
YAL021C	-0.233155578760843	-0.16	2.2113925387
YAL022C	-0.703852330869533	-0.15	-2.2432434897
YAL023C	-0.913936230537109	-0.29	-1.789662016
YAL024C	-0.502753576133561	0.02	-2.2416284712
YAL025C	-3.8657862518867	-1.72	-5.0947270498
YAL027W	0.676086444492417	0.26	1.333429262
YAL028W	2.61042806257034	0.11	2.8198903932
YAL029C	-0.465486537714554	0.12	-1.5877310779
YAL030W	0.733045856374612	0.07	1.1557086131
YAL031C	1.03333127419917	0.29	1.224359416
YAL032C	0.597868065257787	-0.11	1.4150913301
YAL033W	-1.17937123282882	0.03	-1.9181141892
YAL034C	2.44330745131098	0.7	1.1420902288
YAL034W-A	-0.873305897691648	-0.38	-1.9356896937
YAL035W	-1.48002580912302	-1.15	-1.4589649496
YAL036C	-2.89669827300641	-1.08	-1.6981779844
YAL037W	0.448038500972046	0.28	1.3382457635
YAL038W	-0.548545058221171	-0.5	1.367542912
YAL039C	0.114429185174177	-0.35	-1.7387928034
YAL040C	0.513714873707888	0.17	1.0428820106
YAL041W	0.198039513326071	-0.01	-1.1319786803
YAL042W	-0.373304444088171	-0.27	-1.6244759451
YAL043C	0.418720419513795	-0.35	-1.2050598522
YAL044C	-0.561543234082877	-0.35	-1.3761270032
YAL046C	-0.405161650654883	-0.34	-1.0103700335
YAL047C	-0.165858908843816	-0.32	-1.4531372413
YAL048C	0.563550965683199	0.37	-1.4603119722
YAL049C	0.157867103549481	-0.07	-1.5151004005
