	(Intercept)	Broad_conservation	Co.expression_degree	cpb	Disorder	DM	gc_CDS	gc_UTR3	gc_UTR5	halfLife	length_CDS	length_UTR3	length_UTR5	nTf	PPI_degree
downregulated	-7.83258132580541	-0.000307187512625169	0.00646805728544946	22.7921740728092	-0.349582270340196	0.834180731437125	5.79266957534072	-1.36774817887888	-0.297060177808112	-0.23841720701826	0.000165999764068126	0.000721494732315461	-0.00125567991182959	0.0463825370484235	0.00243159261258438
upregulated	-9.54649856210753	-0.0221927848538507	0.00592078096692724	-28.0684701046846	-1.09546102874397	1.58205302697404	9.98214659596633	0.543706567580594	-0.218031919531493	-0.059747844646588	0.000250592701937862	0.00152360733550453	0.00185184088661448	0.0486838797222309	-0.0262578537018249
downregulated_standardErrors	0.108595405218357	0.0021777566072102	0.000217852288733664	0.00148272703823012	0.0685761140514446	0.00554972091578423	0.04427101351798	0.0324901801894742	0.044539994024497	0.0196089294565402	5.84154382552777e-05	0.000559258776613578	0.000891681521748136	0.00385549160218111	0.00403979394470827
upregulated_standardErrors	0.100306280121545	0.00261404692236785	0.000224674920947517	0.000556218640248141	0.0579827010686049	0.00587237564290348	0.0412349151819371	0.0316101633020381	0.0414788527507964	0.0193719511122215	6.04268224000064e-05	0.000488325624576387	0.000764571988168545	0.00378441873770715	0.00711157385983763
downregulated_pValue	0	0.887825022183735	0	0	3.43757081244789e-07	0	0	0	2.56650256602597e-11	0	0.0044872218502654	0.19701905321157	0.159067210862261	0	0.547234007957434
upregulated_pValue	0	0	0	0	0	0	0	0	1.46854906901694e-07	0.00204069420893438	3.36795097712894e-05	0.00180811581852369	0.0154327101755281	0	0.000222260962944087
