GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0042273	ribosomal large subunit biogenesis	2.177835420414662e-53	2.177835420414662e-53	+1	YAL025C,YBR142W,YBR267W,YCL054W,YCR072C,YDL031W,YDL063C,YDL136W,YDL208W,YDR060W,YDR083W,YDR091C,YDR312W,YDR418W,YDR496C,YEL026W,YEL054C,YER002W,YER006W,YER126C,YFL002C,YFR001W,YGL078C,YGL099W,YGL111W,YGL120C,YGR085C,YGR103W,YGR148C,YGR162W,YGR245C,YHL001W,YHL033C,YHR052W,YHR066W,YHR085W,YHR088W,YHR197W,YIL110W,YIR012W,YIR026C,YJL122W,YJR067C,YKL009W,YKL014C,YKL082C,YKL172W,YKR024C,YKR060W,YKR081C,YLL008W,YLL034C,YLL035W,YLR009W,YLR106C,YLR221C,YLR276C,YLR344W,YLR397C,YLR448W,YMR049C,YMR229C,YMR290C,YNL002C,YNL061W,YNL110C,YNL182C,YNL227C,YNR038W,YNR046W,YOL041C,YOL077C,YOL080C,YOL144W,YOR048C,YOR063W,YOR206W,YOR234C,YOR272W,YOR294W,YPL043W,YPL093W,YPL146C,YPL198W,YPL211W,YPR016C,YPR143W
GO:0009451	RNA modification	3.376729501104194e-50	3.376729501104194e-50	+1	YBL004W,YBL024W,YBL071W-A,YBR061C,YBR181C,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL036C,YDL112W,YDL148C,YDL153C,YDL201W,YDL208W,YDR083W,YDR120C,YDR165W,YDR324C,YDR339C,YDR398W,YDR449C,YEL026W,YER082C,YFL001W,YGL169W,YGL171W,YGL236C,YGR090W,YGR200C,YHR065C,YHR070W,YHR072W-A,YHR089C,YHR148W,YHR169W,YIL008W,YIL091C,YIL096C,YJL069C,YJL098W,YJL109C,YJL125C,YJR002W,YKL078W,YKL099C,YKL110C,YKR056W,YLL011W,YLR063W,YLR129W,YLR175W,YLR186W,YLR197W,YLR222C,YLR384C,YLR401C,YLR405W,YLR409C,YML014W,YML080W,YML093W,YMR093W,YMR128W,YMR229C,YMR259C,YMR312W,YNL022C,YNL061W,YNL062C,YNL075W,YNL119W,YNL124W,YNL132W,YNL292W,YNR015W,YNR046W,YOL010W,YOL093W,YOL124C,YOL125W,YOL141W,YOR004W,YOR243C,YOR287C,YOR310C,YPL081W,YPL086C,YPL090C,YPL126W,YPL157W,YPL207W,YPL212C,YPL217C,YPL266W,YPR137W,YPR144C
GO:0001510	RNA methylation	1.5098241984039784e-47	1.5098241984039784e-47	+1	YBL004W,YBL024W,YBR061C,YBR181C,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL112W,YDL148C,YDL153C,YDL201W,YDR083W,YDR120C,YDR165W,YDR324C,YDR339C,YDR398W,YDR449C,YEL026W,YER082C,YGL171W,YGL236C,YGR090W,YHR065C,YHR070W,YHR148W,YHR169W,YIL091C,YIL096C,YJL069C,YJL109C,YJL125C,YJR002W,YKL078W,YKL099C,YLL011W,YLR063W,YLR129W,YLR186W,YLR197W,YLR222C,YLR409C,YML014W,YML093W,YMR093W,YMR128W,YMR229C,YMR259C,YNL022C,YNL061W,YNL062C,YNL075W,YNR046W,YOL010W,YOL093W,YOL124C,YOL125W,YOL141W,YOR004W,YOR287C,YOR310C,YPL081W,YPL090C,YPL126W,YPL157W,YPL217C,YPR137W,YPR144C
GO:0000154	rRNA modification	9.668949942620251e-44	9.668949942620251e-44	+1	YBL004W,YBR181C,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL036C,YDL112W,YDL148C,YDL153C,YDL208W,YDR083W,YDR324C,YDR339C,YDR398W,YDR449C,YEL026W,YER082C,YGL171W,YGR090W,YHR065C,YHR072W-A,YHR089C,YHR148W,YHR169W,YIL091C,YIL096C,YJL069C,YJL109C,YJR002W,YKL078W,YKL099C,YLL011W,YLR063W,YLR129W,YLR175W,YLR186W,YLR197W,YLR222C,YLR409C,YML093W,YMR093W,YMR128W,YMR229C,YNL022C,YNL061W,YNL075W,YNL132W,YNR046W,YOL010W,YOR004W,YOR243C,YOR287C,YOR310C,YPL081W,YPL090C,YPL126W,YPL217C,YPL266W,YPR137W,YPR144C
GO:0010467	gene expression	1.1884590528825194e-43	1.1884590528825194e-43	+1	YAL003W,YAL019W,YAL025C,YAL035W,YAL036C,YAR008W,YBL004W,YBL018C,YBL024W,YBL054W,YBL071W-A,YBL076C,YBR031W,YBR034C,YBR061C,YBR079C,YBR088C,YBR142W,YBR154C,YBR181C,YBR191W,YBR202W,YBR247C,YBR271W,YBR275C,YCL037C,YCL054W,YCL058W-A,YCL059C,YCR047C,YCR057C,YCR063W,YDL014W,YDL031W,YDL036C,YDL042C,YDL051W,YDL060W,YDL082W,YDL083C,YDL112W,YDL136W,YDL148C,YDL150W,YDL153C,YDL166C,YDL201W,YDL208W,YDL213C,YDL227C,YDL229W,YDR012W,YDR021W,YDR025W,YDR045C,YDR083W,YDR087C,YDR091C,YDR120C,YDR165W,YDR299W,YDR324C,YDR339C,YDR341C,YDR365C,YDR395W,YDR397C,YDR398W,YDR412W,YDR418W,YDR429C,YDR447C,YDR449C,YDR469W,YDR471W,YDR478W,YDR496C,YEL009C,YEL026W,YEL054C,YEL055C,YER002W,YER006W,YER025W,YER049W,YER056C-A,YER082C,YER102W,YER117W,YER126C,YER127W,YER131W,YFL001W,YFL002C,YFL023W,YFL034C-A,YFR001W,YFR031C-A,YGL029W,YGL078C,YGL097W,YGL111W,YGL120C,YGL169W,YGL171W,YGL236C,YGR030C,YGR081C,YGR085C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR148C,YGR158C,YGR159C,YGR162W,YGR200C,YGR251W,YGR264C,YGR271C-A,YGR280C,YGR285C,YHL001W,YHL033C,YHR020W,YHR052W,YHR062C,YHR065C,YHR066W,YHR070W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR143W-A,YHR148W,YHR169W,YHR196W,YHR197W,YHR203C,YIL008W,YIL019W,YIL069C,YIL079C,YIL091C,YIL096C,YIL103W,YIL110W,YIL127C,YIL131C,YIL133C,YJL010C,YJL011C,YJL033W,YJL050W,YJL069C,YJL098W,YJL109C,YJL125C,YJL148W,YJL190C,YJL191W,YJR002W,YJR007W,YJR041C,YJR063W,YJR067C,YJR070C,YJR094W-A,YJR097W,YJR147W,YKL009W,YKL014C,YKL078W,YKL081W,YKL082C,YKL099C,YKL110C,YKL144C,YKL156W,YKL172W,YKL191W,YKR024C,YKR025W,YKR056W,YKR057W,YKR060W,YKR079C,YKR081C,YKR099W,YLL008W,YLL011W,YLL035W,YLR002C,YLR009W,YLR014C,YLR015W,YLR029C,YLR051C,YLR063W,YLR068W,YLR106C,YLR129W,YLR172C,YLR175W,YLR183C,YLR186W,YLR196W,YLR197W,YLR222C,YLR223C,YLR249W,YLR276C,YLR333C,YLR344W,YLR384C,YLR385C,YLR401C,YLR405W,YLR406C,YLR409C,YLR435W,YLR441C,YLR448W,YML014W,YML026C,YML043C,YML063W,YML080W,YML093W,YML113W,YMR014W,YMR016C,YMR049C,YMR093W,YMR128W,YMR131C,YMR146C,YMR194W,YMR229C,YMR239C,YMR242C,YMR259C,YMR290C,YMR307W,YMR308C,YMR309C,YMR312W,YNL002C,YNL022C,YNL023C,YNL061W,YNL062C,YNL067W,YNL068C,YNL075W,YNL096C,YNL110C,YNL112W,YNL113W,YNL119W,YNL124W,YNL132W,YNL151C,YNL162W,YNL178W,YNL182C,YNL186W,YNL207W,YNL221C,YNL227C,YNL247W,YNL248C,YNL282W,YNL292W,YNL299W,YNL301C,YNL308C,YNR003C,YNR009W,YNR015W,YNR024W,YNR038W,YNR046W,YNR054C,YNR063W,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL093W,YOL097C,YOL121C,YOL124C,YOL125W,YOL141W,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR091W,YOR116C,YOR119C,YOR145C,YOR207C,YOR210W,YOR224C,YOR234C,YOR243C,YOR272W,YOR287C,YOR293W,YOR294W,YOR302W,YOR310C,YOR312C,YOR315W,YOR335C,YOR337W,YOR340C,YOR341W,YOR359W,YOR361C,YPL012W,YPL043W,YPL081W,YPL082C,YPL086C,YPL090C,YPL093W,YPL126W,YPL146C,YPL157W,YPL160W,YPL183C,YPL198W,YPL207W,YPL211W,YPL212C,YPL217C,YPL226W,YPL266W,YPL267W,YPR010C,YPR016C,YPR041W,YPR110C,YPR112C,YPR137W,YPR143W,YPR144C,YPR163C,YPR187W,YPR190C
GO:0032259	methylation	2.560004620289679e-40	2.560004620289679e-40	+1	YBL004W,YBL024W,YBR034C,YBR061C,YBR181C,YBR271W,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL112W,YDL148C,YDL153C,YDL201W,YDR083W,YDR120C,YDR165W,YDR324C,YDR339C,YDR398W,YDR449C,YDR465C,YDR469W,YEL026W,YER082C,YGL171W,YGL236C,YGR090W,YGR283C,YHL039W,YHR065C,YHR070W,YHR148W,YHR169W,YIL064W,YIL091C,YIL096C,YIL110W,YJL069C,YJL109C,YJL125C,YJR002W,YJR129C,YKL078W,YKL099C,YLL011W,YLR015W,YLR063W,YLR129W,YLR186W,YLR197W,YLR222C,YLR409C,YLR449W,YML014W,YML093W,YMR093W,YMR128W,YMR229C,YMR259C,YMR310C,YNL022C,YNL061W,YNL062C,YNL075W,YNR046W,YOL010W,YOL093W,YOL124C,YOL125W,YOL141W,YOR004W,YOR021C,YOR287C,YOR310C,YPL081W,YPL090C,YPL126W,YPL157W,YPL217C,YPR137W,YPR144C
GO:0043414	macromolecule methylation	3.9179468609229743e-39	3.9179468609229743e-39	+1	YBL004W,YBL024W,YBR034C,YBR061C,YBR181C,YBR271W,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL112W,YDL148C,YDL153C,YDL201W,YDR083W,YDR120C,YDR165W,YDR324C,YDR339C,YDR398W,YDR449C,YDR465C,YDR469W,YEL026W,YER082C,YGL171W,YGL236C,YGR090W,YHL039W,YHR065C,YHR070W,YHR148W,YHR169W,YIL064W,YIL091C,YIL096C,YIL110W,YJL069C,YJL109C,YJL125C,YJR002W,YJR129C,YKL078W,YKL099C,YLL011W,YLR015W,YLR063W,YLR129W,YLR186W,YLR197W,YLR222C,YLR409C,YLR449W,YML014W,YML093W,YMR093W,YMR128W,YMR229C,YMR259C,YNL022C,YNL061W,YNL062C,YNL075W,YNR046W,YOL010W,YOL093W,YOL124C,YOL125W,YOL141W,YOR004W,YOR021C,YOR287C,YOR310C,YPL081W,YPL090C,YPL126W,YPL157W,YPL217C,YPR137W,YPR144C
GO:0031167	rRNA methylation	1.0319240798223547e-38	1.0319240798223547e-38	+1	YBL004W,YBR181C,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL112W,YDL148C,YDL153C,YDR083W,YDR324C,YDR339C,YDR398W,YDR449C,YEL026W,YER082C,YGL171W,YGR090W,YHR065C,YHR148W,YHR169W,YIL091C,YIL096C,YJL069C,YJL109C,YJR002W,YKL078W,YKL099C,YLL011W,YLR063W,YLR129W,YLR186W,YLR197W,YLR222C,YLR409C,YML093W,YMR093W,YMR128W,YMR229C,YNL022C,YNL061W,YNL075W,YNR046W,YOL010W,YOR004W,YOR287C,YOR310C,YPL081W,YPL090C,YPL126W,YPL217C,YPR137W,YPR144C
GO:0044085	cellular component biogenesis	3.614841163862519e-38	3.614841163862519e-38	+1	YAL003W,YAL019W,YAL025C,YAL035W,YAL059W,YBL004W,YBL018C,YBR079C,YBR088C,YBR142W,YBR154C,YBR181C,YBR202W,YBR233W-A,YBR247C,YBR267W,YBR275C,YCL024W,YCL054W,YCL059C,YCR047C,YCR057C,YCR059C,YCR072C,YDL014W,YDL031W,YDL036C,YDL042C,YDL055C,YDL060W,YDL063C,YDL083C,YDL112W,YDL136W,YDL148C,YDL153C,YDL166C,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR060W,YDR083W,YDR087C,YDR091C,YDR101C,YDR161W,YDR245W,YDR299W,YDR312W,YDR324C,YDR339C,YDR361C,YDR365C,YDR397C,YDR398W,YDR412W,YDR418W,YDR447C,YDR449C,YDR478W,YDR496C,YEL009C,YEL026W,YEL054C,YER002W,YER006W,YER025W,YER056C-A,YER082C,YER102W,YER126C,YER127W,YER131W,YFL002C,YFL023W,YFR001W,YGL008C,YGL029W,YGL078C,YGL097W,YGL099W,YGL111W,YGL120C,YGL171W,YGR030C,YGR078C,YGR081C,YGR085C,YGR090W,YGR103W,YGR108W,YGR118W,YGR128C,YGR140W,YGR145W,YGR148C,YGR158C,YGR159C,YGR162W,YGR188C,YGR245C,YGR251W,YGR271C-A,YGR280C,YGR285C,YHL001W,YHL033C,YHL039W,YHR040W,YHR052W,YHR062C,YHR065C,YHR066W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR143W-A,YHR148W,YHR169W,YHR170W,YHR196W,YHR197W,YIL019W,YIL069C,YIL091C,YIL096C,YIL110W,YIL131C,YIR012W,YIR026C,YJL010C,YJL033W,YJL050W,YJL069C,YJL074C,YJL109C,YJL122W,YJL148W,YJL191W,YJR002W,YJR007W,YJR041C,YJR063W,YJR067C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL143W,YKL156W,YKL172W,YKR024C,YKR057W,YKR060W,YKR081C,YKR099W,YLL008W,YLL011W,YLL034C,YLL035W,YLR002C,YLR009W,YLR051C,YLR063W,YLR068W,YLR074C,YLR106C,YLR129W,YLR175W,YLR186W,YLR196W,YLR197W,YLR221C,YLR222C,YLR276C,YLR336C,YLR344W,YLR397C,YLR409C,YLR435W,YLR441C,YLR448W,YLR449W,YML026C,YML063W,YML093W,YMR014W,YMR049C,YMR093W,YMR128W,YMR131C,YMR215W,YMR229C,YMR239C,YMR269W,YMR290C,YMR301C,YMR307W,YNL002C,YNL022C,YNL061W,YNL066W,YNL068C,YNL075W,YNL096C,YNL110C,YNL112W,YNL113W,YNL124W,YNL132W,YNL178W,YNL182C,YNL207W,YNL221C,YNL227C,YNL240C,YNL248C,YNL282W,YNL308C,YNR024W,YNR038W,YNR046W,YNR053C,YNR054C,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL121C,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR119C,YOR145C,YOR206W,YOR210W,YOR224C,YOR234C,YOR243C,YOR272W,YOR287C,YOR293W,YOR294W,YOR310C,YOR340C,YOR341W,YPL012W,YPL043W,YPL050C,YPL081W,YPL082C,YPL090C,YPL093W,YPL126W,YPL146C,YPL157W,YPL198W,YPL211W,YPL217C,YPL226W,YPL241C,YPL252C,YPL266W,YPR010C,YPR016C,YPR041W,YPR048W,YPR110C,YPR112C,YPR119W,YPR137W,YPR143W,YPR144C,YPR163C,YPR187W
GO:0034641	cellular nitrogen compound metabolic process	7.8838802887863e-36	7.8838802887863e-36	+1	YAL003W,YAL019W,YAL025C,YAL035W,YAL036C,YAR008W,YAR015W,YBL004W,YBL018C,YBL024W,YBL035C,YBL039C,YBL054W,YBL068W,YBL071W-A,YBL076C,YBR031W,YBR034C,YBR061C,YBR079C,YBR084W,YBR088C,YBR092C,YBR142W,YBR154C,YBR181C,YBR191W,YBR202W,YBR213W,YBR247C,YBR252W,YBR271W,YBR275C,YCL037C,YCL054W,YCL058W-A,YCL059C,YCR047C,YCR057C,YCR063W,YDL014W,YDL031W,YDL036C,YDL042C,YDL051W,YDL055C,YDL060W,YDL082W,YDL083C,YDL112W,YDL136W,YDL148C,YDL150W,YDL153C,YDL166C,YDL201W,YDL208W,YDL213C,YDL229W,YDR012W,YDR020C,YDR021W,YDR025W,YDR045C,YDR075W,YDR083W,YDR087C,YDR091C,YDR097C,YDR120C,YDR165W,YDR299W,YDR324C,YDR339C,YDR341C,YDR365C,YDR397C,YDR398W,YDR399W,YDR412W,YDR418W,YDR429C,YDR441C,YDR447C,YDR449C,YDR465C,YDR469W,YDR471W,YDR478W,YDR496C,YEL009C,YEL026W,YEL054C,YEL055C,YER002W,YER006W,YER025W,YER043C,YER049W,YER056C-A,YER070W,YER082C,YER102W,YER117W,YER126C,YER127W,YER131W,YFL001W,YFL002C,YFL023W,YFL034C-A,YFR001W,YFR031C-A,YFR055W,YGL029W,YGL078C,YGL111W,YGL120C,YGL169W,YGL171W,YGL234W,YGL236C,YGR030C,YGR061C,YGR081C,YGR085C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR148C,YGR158C,YGR159C,YGR162W,YGR200C,YGR234W,YGR251W,YGR264C,YGR271C-A,YGR280C,YGR285C,YHL001W,YHL011C,YHL033C,YHR020W,YHR040W,YHR052W,YHR062C,YHR065C,YHR066W,YHR070W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR128W,YHR143W-A,YHR148W,YHR154W,YHR169W,YHR196W,YHR197W,YHR203C,YIL008W,YIL019W,YIL069C,YIL079C,YIL091C,YIL096C,YIL103W,YIL110W,YIL127C,YIL131C,YIL133C,YJL010C,YJL011C,YJL033W,YJL050W,YJL069C,YJL074C,YJL098W,YJL109C,YJL125C,YJL130C,YJL148W,YJL190C,YJL191W,YJL208C,YJR002W,YJR007W,YJR041C,YJR063W,YJR067C,YJR094W-A,YJR097W,YJR147W,YKL009W,YKL014C,YKL078W,YKL081W,YKL082C,YKL099C,YKL110C,YKL113C,YKL144C,YKL156W,YKL172W,YKL181W,YKL191W,YKL216W,YKR024C,YKR025W,YKR056W,YKR057W,YKR060W,YKR079C,YKR081C,YKR099W,YLL008W,YLL011W,YLL035W,YLR002C,YLR009W,YLR014C,YLR015W,YLR017W,YLR029C,YLR051C,YLR063W,YLR068W,YLR106C,YLR129W,YLR146C,YLR154C,YLR172C,YLR175W,YLR186W,YLR196W,YLR197W,YLR222C,YLR223C,YLR249W,YLR276C,YLR333C,YLR344W,YLR384C,YLR385C,YLR401C,YLR405W,YLR406C,YLR409C,YLR432W,YLR435W,YLR441C,YLR448W,YML014W,YML022W,YML026C,YML043C,YML056C,YML060W,YML063W,YML080W,YML093W,YML106W,YML113W,YMR014W,YMR016C,YMR049C,YMR076C,YMR093W,YMR120C,YMR128W,YMR131C,YMR146C,YMR194W,YMR217W,YMR229C,YMR239C,YMR242C,YMR246W,YMR259C,YMR290C,YMR300C,YMR307W,YMR309C,YMR312W,YNL002C,YNL022C,YNL023C,YNL061W,YNL062C,YNL067W,YNL068C,YNL075W,YNL096C,YNL102W,YNL110C,YNL112W,YNL113W,YNL119W,YNL124W,YNL132W,YNL141W,YNL151C,YNL162W,YNL178W,YNL182C,YNL186W,YNL207W,YNL221C,YNL227C,YNL247W,YNL248C,YNL256W,YNL282W,YNL292W,YNL299W,YNL301C,YNL308C,YNR003C,YNR009W,YNR012W,YNR015W,YNR024W,YNR038W,YNR046W,YNR054C,YNR063W,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL093W,YOL097C,YOL121C,YOL124C,YOL125W,YOL141W,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR091W,YOR095C,YOR116C,YOR119C,YOR145C,YOR207C,YOR210W,YOR224C,YOR234C,YOR236W,YOR243C,YOR272W,YOR287C,YOR293W,YOR294W,YOR302W,YOR310C,YOR312C,YOR315W,YOR335C,YOR337W,YOR340C,YOR341W,YOR359W,YOR361C,YPL012W,YPL043W,YPL081W,YPL082C,YPL086C,YPL090C,YPL093W,YPL126W,YPL146C,YPL157W,YPL160W,YPL183C,YPL198W,YPL207W,YPL211W,YPL212C,YPL217C,YPL252C,YPL266W,YPL267W,YPR010C,YPR016C,YPR041W,YPR048W,YPR110C,YPR112C,YPR137W,YPR143W,YPR144C,YPR145W,YPR163C,YPR187W,YPR190C
GO:0000460	maturation of 5.8S rRNA	1.8077748502802113e-35	1.8077748502802113e-35	+1	YAL025C,YBL004W,YBR142W,YBR247C,YCL054W,YCL059C,YCR047C,YCR057C,YDL031W,YDL148C,YDL153C,YDR339C,YDR449C,YER082C,YER126C,YER127W,YFR001W,YGL078C,YGL120C,YGL171W,YGR158C,YGR251W,YHR052W,YHR088W,YHR169W,YJL010C,YJL050W,YJL069C,YJL109C,YJR002W,YKL014C,YKL099C,YKR057W,YKR081C,YLL035W,YLR051C,YLR129W,YLR186W,YLR222C,YML026C,YML093W,YMR229C,YNL002C,YNL308C,YNR024W,YNR038W,YNR054C,YOL010W,YOL077C,YOR001W,YOR004W,YOR048C,YOR078W,YOR145C,YOR272W,YOR294W,YOR310C,YPR016C,YPR112C,YPR143W,YPR144C
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1.2014255299923501e-34	1.2014255299923501e-34	+1	YAL025C,YBL004W,YBR142W,YBR247C,YCL054W,YCL059C,YCR047C,YCR057C,YDL031W,YDL148C,YDL153C,YDR339C,YDR449C,YER082C,YER126C,YER127W,YFR001W,YGL078C,YGL120C,YGL171W,YGR158C,YGR251W,YHR052W,YHR088W,YHR169W,YJL010C,YJL050W,YJL069C,YJL109C,YJR002W,YKL014C,YKL099C,YKR057W,YKR081C,YLL035W,YLR051C,YLR129W,YLR186W,YLR222C,YML026C,YML093W,YMR229C,YNL002C,YNL308C,YNR024W,YNR038W,YNR054C,YOL010W,YOL077C,YOR001W,YOR004W,YOR048C,YOR078W,YOR145C,YOR294W,YOR310C,YPR016C,YPR112C,YPR143W,YPR144C
GO:0016070	RNA metabolic process	2.3725439471673917e-34	2.3725439471673917e-34	+1	YAL019W,YAL025C,YAL035W,YAR008W,YBL004W,YBL018C,YBL024W,YBL054W,YBL071W-A,YBL076C,YBR034C,YBR061C,YBR088C,YBR142W,YBR154C,YBR181C,YBR202W,YBR247C,YBR275C,YCL054W,YCL058W-A,YCL059C,YCR047C,YCR057C,YCR063W,YDL014W,YDL031W,YDL036C,YDL042C,YDL051W,YDL060W,YDL083C,YDL112W,YDL136W,YDL148C,YDL150W,YDL153C,YDL166C,YDL201W,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR045C,YDR083W,YDR087C,YDR091C,YDR120C,YDR165W,YDR299W,YDR324C,YDR339C,YDR341C,YDR365C,YDR397C,YDR398W,YDR412W,YDR449C,YDR469W,YDR478W,YEL009C,YEL026W,YEL055C,YER002W,YER006W,YER049W,YER082C,YER102W,YER126C,YER127W,YFL001W,YFL002C,YFR001W,YGL029W,YGL078C,YGL111W,YGL120C,YGL169W,YGL171W,YGL236C,YGR030C,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR158C,YGR159C,YGR200C,YGR251W,YGR264C,YGR271C-A,YGR280C,YGR285C,YHL033C,YHR020W,YHR040W,YHR052W,YHR062C,YHR065C,YHR066W,YHR070W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR143W-A,YHR148W,YHR169W,YHR196W,YHR197W,YIL008W,YIL019W,YIL069C,YIL079C,YIL091C,YIL096C,YIL127C,YIL131C,YJL010C,YJL011C,YJL033W,YJL050W,YJL069C,YJL098W,YJL109C,YJL125C,YJL148W,YJL191W,YJL208C,YJR002W,YJR041C,YJR063W,YJR147W,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL110C,YKL113C,YKL144C,YKL156W,YKL172W,YKR024C,YKR025W,YKR056W,YKR057W,YKR060W,YKR079C,YKR081C,YKR099W,YLL008W,YLL011W,YLL035W,YLR002C,YLR014C,YLR015W,YLR051C,YLR063W,YLR068W,YLR106C,YLR129W,YLR154C,YLR175W,YLR186W,YLR196W,YLR197W,YLR222C,YLR223C,YLR276C,YLR384C,YLR385C,YLR401C,YLR405W,YLR409C,YLR435W,YLR441C,YML014W,YML026C,YML043C,YML063W,YML080W,YML093W,YML113W,YMR014W,YMR016C,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR259C,YMR290C,YMR307W,YMR312W,YNL002C,YNL022C,YNL023C,YNL061W,YNL062C,YNL068C,YNL075W,YNL096C,YNL110C,YNL112W,YNL113W,YNL119W,YNL124W,YNL132W,YNL151C,YNL182C,YNL186W,YNL207W,YNL221C,YNL227C,YNL247W,YNL248C,YNL282W,YNL292W,YNL299W,YNL308C,YNR003C,YNR009W,YNR015W,YNR024W,YNR038W,YNR046W,YNR054C,YNR063W,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL093W,YOL097C,YOL124C,YOL125W,YOL141W,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR116C,YOR119C,YOR145C,YOR207C,YOR210W,YOR224C,YOR243C,YOR272W,YOR287C,YOR294W,YOR310C,YOR315W,YOR335C,YOR337W,YOR340C,YOR341W,YOR359W,YPL012W,YPL043W,YPL081W,YPL082C,YPL086C,YPL090C,YPL093W,YPL126W,YPL146C,YPL157W,YPL160W,YPL183C,YPL198W,YPL207W,YPL211W,YPL212C,YPL217C,YPL266W,YPL267W,YPR010C,YPR016C,YPR110C,YPR112C,YPR137W,YPR143W,YPR144C,YPR187W,YPR190C
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	1.1442574739930355e-29	1.1442574739930355e-29	+1	YBL004W,YBR247C,YCL059C,YCR047C,YCR057C,YDL060W,YDL148C,YDL153C,YDR339C,YDR449C,YDR478W,YER082C,YER127W,YFR001W,YGL078C,YGL171W,YGR251W,YHR169W,YJL010C,YJL069C,YJL109C,YJR002W,YKL099C,YKR057W,YKR079C,YLL035W,YLR051C,YLR129W,YLR154C,YLR186W,YLR222C,YML026C,YML093W,YMR229C,YNL282W,YNL308C,YNR054C,YOL010W,YOL077C,YOR004W,YOR048C,YOR078W,YOR145C,YOR294W,YOR310C,YPL217C,YPR112C,YPR144C
GO:0000469	cleavage involved in rRNA processing	5.666908829586566e-29	5.666908829586566e-29	+1	YBL004W,YBR247C,YCL059C,YCR047C,YCR057C,YDL060W,YDL148C,YDL153C,YDL208W,YDR339C,YDR449C,YER082C,YER127W,YFR001W,YGL078C,YGL171W,YGR158C,YGR251W,YHR072W-A,YHR169W,YJL010C,YJL050W,YJL069C,YJL109C,YJR002W,YKL099C,YKR057W,YLL035W,YLR051C,YLR129W,YLR186W,YLR222C,YML026C,YML093W,YMR229C,YNL002C,YNL308C,YNR024W,YNR054C,YOL010W,YOL077C,YOR001W,YOR004W,YOR048C,YOR056C,YOR078W,YOR145C,YOR287C,YOR294W,YOR310C,YPL217C,YPR112C,YPR144C
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1.5099180684347545e-28	1.5099180684347545e-28	+1	YBL004W,YBR247C,YCL059C,YCR047C,YCR057C,YDL060W,YDL148C,YDL153C,YDR339C,YDR449C,YER082C,YER127W,YFR001W,YGL078C,YGL171W,YGR251W,YHR169W,YJL010C,YJL069C,YJL109C,YJR002W,YKL099C,YKR057W,YLL035W,YLR051C,YLR129W,YLR186W,YLR222C,YML026C,YML093W,YMR229C,YNL308C,YNR054C,YOL010W,YOL077C,YOR004W,YOR048C,YOR078W,YOR145C,YOR294W,YOR310C,YPL217C,YPR112C,YPR144C
GO:0000478	endonucleolytic cleavage involved in rRNA processing	1.5099180684347545e-28	1.5099180684347545e-28	+1	YBL004W,YBR247C,YCL059C,YCR047C,YCR057C,YDL060W,YDL148C,YDL153C,YDR339C,YDR449C,YER082C,YER127W,YFR001W,YGL078C,YGL171W,YGR251W,YHR169W,YJL010C,YJL069C,YJL109C,YJR002W,YKL099C,YKR057W,YLL035W,YLR051C,YLR129W,YLR186W,YLR222C,YML026C,YML093W,YMR229C,YNL308C,YNR054C,YOL010W,YOL077C,YOR004W,YOR048C,YOR078W,YOR145C,YOR294W,YOR310C,YPL217C,YPR112C,YPR144C
