RepName	halfLife_tani
NM_138370,	1.98 
NM_001039664,NM_148966,NM_148965,NM_148970,NM_148967,NM_003790,	1.98 
NM_000894,	1.98 
NM_014079,	1.98 
NM_001045476,	1.98 
NM_024639,	1.98 
NM_033411,	1.98 
NM_002083,	1.98 
NM_001007533,	1.98 
NM_148979,NM_004390,	1.98 
NM_023940,	1.98 
NM_005293,	2.00 
NM_152485,	2.00 
NM_006763,	2.00 
NM_006300,	2.00 
NM_203403,	2.00 
NM_032521,	2.02 
NM_021146,	2.02 
NM_007147,	2.02 
NM_182699,	2.02 
NM_012342,	2.04 
NM_001024675,	2.04 
NM_152268,	2.04 
NM_024310,	2.04 
NM_213598,	2.04 
NM_014383,	2.04 
NM_025231,	2.04 
NM_001008404,	2.04 
NM_001004055,NM_012163,	2.04 
NM_152465,	2.04 
NM_017565,	2.04 
NM_001335,	2.04 
NM_020801,	2.06 
NM_005199,	2.06 
NM_014484,	2.06 
NM_018444,	2.06 
NM_138455,	2.06 
NM_025195,	2.06 
NM_018566,	2.06 
NM_001559,	2.06 
NM_006472,	2.06 
NM_198480,	2.06 
NM_020169,	2.06 
NM_181727,	2.06 
NM_001001712,	2.06 
NM_005384,	2.06 
NM_006647,	2.06 
NM_024014,	2.06 
NM_001014830,	2.06 
NM_018348,	2.06 
NM_003885,	2.06 
NM_148886,NM_139162,	2.06 
NM_203371,	2.06 
NM_003772,	2.06 
NM_183375,	2.06 
NM_020177,	2.08 
NM_001002919,	2.08 
NM_016544,	2.08 
NM_025203,	2.08 
NM_012476,	2.08 
NM_006242,	2.08 
NM_000825,	2.08 
NM_018364,	2.08 
NM_052943,	2.08 
NM_004433,	2.08 
NM_024869,	2.08 
NM_133444,	2.08 
NM_152791,	2.08 
NM_145071,	2.08 
NM_138333,	2.08 
NM_014830,	2.08 
NM_017633,	2.08 
NM_003532,	2.08 
NM_152457,	2.08 
NM_024712,	2.08 
NM_003955,	2.08 
NM_024784,	2.08 
NM_145805,	2.08 
NM_001001703,	2.11 
NM_004040,	2.11 
NM_138395,	2.11 
NM_001017396,NM_021088,	2.11 
NM_001008490,NM_001300,	2.11 
NM_024747,	2.11 
NM_019058,	2.11 
NM_198391,NM_013281,	2.11 
NM_080489,NM_015685,	2.11 
NM_080752,	2.11 
NM_053001,	2.11 
NM_016102,NM_001024941,NM_001024940,	2.11 
NM_144728,NM_007207,NM_144729,	2.11 
NM_002928,	2.11 
NM_030634,NM_001077195,	2.11 
NM_138417,	2.11 
NM_001441,	2.11 
NM_152835,	2.11 
NM_032838,	2.11 
NM_013256,	2.11 
NM_203344,NM_013368,	2.11 
NM_145287,	2.11 
NM_003489,	2.11 
NM_014805,	2.11 
NM_016474,	2.11 
NM_001010907,	2.11 
NM_003408,	2.11 
NM_138432,	2.11 
NM_012177,	2.11 
NM_152735,	2.11 
NM_013262,	2.11 
NM_001015072,	2.11 
NM_006980,	2.11 
NM_012328,	2.11 
NM_001014444,NM_001888,	2.11 
NM_052838,	2.11 
NM_152652,	2.11 
NM_005353,	2.11 
NM_005853,	2.11 
NM_014519,	2.11 
NM_207387,	2.11 
NM_001661,	2.11 
NM_009587,NM_002308,	2.11 
NM_001029859,	2.11 
NM_014743,	2.11 
NM_145715,	2.11 
NM_002202,	2.13 
NM_002908,	2.13 
NM_005798,NM_001007278,NM_213590,NM_052811,	2.13 
NM_005800,	2.13 
NM_032859,	2.13 
NM_145312,	2.13 
NM_006526,	2.13 
NM_015435,NM_183419,	2.13 
NM_001037234,	2.13 
NM_181702,NM_005261,	2.13 
NM_175876,	2.13 
NM_012482,	2.13 
NM_016545,	2.13 
NM_001008896,NM_138479,	2.13 
NM_017638,	2.13 
NM_017879,	2.13 
NM_025040,	2.13 
NM_206894,	2.13 
NM_021030,	2.13 
NM_001010851,	2.13 
NM_013398,	2.13 
NM_020880,	2.13 
NM_198089,NM_003445,	2.13 
NM_152603,	2.13 
NM_153608,	2.13 
NM_013362,	2.13 
NM_178544,	2.13 
NM_003244,NM_173210,NM_173209,NM_174886,NM_173208,NM_170695,NM_173207,NM_173211,	2.13 
NM_015896,	2.13 
NM_178342,NM_178339,	2.13 
NM_002048,	2.13 
NM_031219,	2.13 
NM_032641,	2.13 
NM_181708,	2.13 
NM_001042555,NM_006654,	2.13 
NM_019858,NM_014449,	2.13 
NM_018169,	2.13 
NM_019110,	2.13 
NM_001039643,	2.13 
NM_032936,	2.13 
NM_004496,	2.13 
NM_016651,	2.13 
NM_006194,	2.13 
NM_003414,	2.13 
NM_001005404,	2.13 
NM_024631,	2.13 
NM_032424,	2.13 
NM_001004326,	2.13 
NM_032246,	2.13 
NM_024708,NM_198243,	2.13 
NM_024511,	2.13 
NM_005841,NM_199327,	2.13 
NM_000171,	2.15 
NM_004417,	2.15 
NM_004418,	2.15 
NM_144949,NM_014011,	2.15 
NM_032138,	2.15 
NM_031212,	2.15 
NM_005674,	2.15 
NM_080829,	2.15 
NM_025054,	2.15 
NM_006958,NM_001029976,	2.15 
NM_002467,	2.15 
NM_015911,	2.15 
NM_022774,	2.15 
NM_174895,	2.15 
NM_207333,	2.15 
NM_004831,	2.15 
NM_004234,	2.15 
NM_080662,	2.15 
NM_014650,	2.15 
NM_021216,	2.15 
NM_002229,	2.15 
NM_001037813,	2.15 
NM_014872,	2.15 
NM_006626,	2.15 
NM_012210,	2.15 
NM_003558,NM_001031687,	2.15 
NM_032786,	2.15 
NM_004064,	2.15 
NM_003192,	2.15 
NM_005627,	2.15 
NM_001010868,	2.15 
NM_001010844,	2.15 
NM_030963,	2.15 
NM_001039754,	2.15 
NM_017658,	2.15 
NM_005252,	2.15 
NM_052944,	2.15 
NM_020786,	2.15 
NM_001451,	2.15 
NM_144657,	2.15 
NM_016261,	2.15 
NM_006456,	2.15 
NM_052857,	2.15 
NM_018019,	2.15 
NM_144664,	2.15 
NM_017704,	2.15 
NM_207380,	2.15 
NM_183376,	2.15 
NM_020234,	2.15 
NM_024028,	2.17 
NM_016618,	2.17 
NM_005168,	2.17 
NM_001692,	2.17 
NM_014562,	2.17 
NM_006577,	2.17 
NM_005398,	2.17 
NM_024942,	2.17 
NM_207371,	2.17 
NM_183005,NM_006414,	2.17 
NM_002655,	2.17 
NM_024607,	2.17 
NM_003724,	2.17 
NM_032833,	2.17 
NM_019099,NM_198926,	2.17 
NM_033213,	2.17 
NM_002379,	2.17 
NM_152500,	2.17 
NM_001993,	2.17 
NM_152281,	2.17 
NM_170725,NM_001017434,	2.17 
NM_032872,	2.17 
NM_002923,	2.17 
NM_025079,	2.17 
NM_144686,	2.17 
NM_144976,	2.17 
NM_152353,	2.17 
NM_152289,	2.17 
NM_001039654,	2.17 
NM_198855,NM_006385,	2.17 
NM_021910,NM_005971,	2.17 
NM_001040185,	2.17 
NM_173632,	2.17 
NM_152303,	2.17 
NM_024840,NM_001031721,	2.17 
NM_013361,	2.17 
NM_004232,	2.17 
NM_020307,	2.17 
NM_033027,	2.17 
NM_153268,	2.17 
NM_001005474,NM_031419,	2.17 
NM_203434,	2.17 
NM_203453,	2.17 
NM_017913,	2.17 
NM_000889,	2.17 
NM_002309,	2.17 
NM_007149,	2.17 
NM_004277,	2.17 
NM_001004317,	2.17 
NM_020931,	2.17 
NM_003107,	2.17 
NM_020781,NM_170686,	2.17 
NM_212460,NM_001037164,NM_005738,	2.17 
NM_020529,	2.17 
NM_001040662,NM_024558,	2.17 
NM_003031,NM_001006610,	2.17 
NM_014699,	2.17 
NM_003450,NM_001032292,	2.17 
NM_024297,	2.17 
NM_020649,	2.17 
NM_024039,	2.17 
NM_021211,	2.17 
NM_173811,	2.17 
NM_000280,NM_001604,	2.17 
NM_006831,	2.17 
NM_152316,	2.17 
NM_001003942,NM_033503,NM_001003943,NM_001003940,	2.17 
NM_152260,	2.17 
NM_001189,	2.17 
NM_052864,	2.17 
NM_032765,	2.20 
NM_020666,	2.20 
NM_004270,	2.20 
NM_145702,	2.20 
NM_014755,	2.20 
NM_001008489,	2.20 
NM_002398,	2.20 
NM_024093,	2.20 
NM_152903,	2.20 
NM_001109,	2.20 
NM_005029,	2.20 
NM_032772,	2.20 
NM_003434,	2.20 
NM_001032282,NM_005655,	2.20 
NM_014789,	2.20 
NM_147189,	2.20 
NM_003395,	2.20 
NM_024804,	2.20 
NM_000740,	2.20 
NM_199173,	2.20 
NM_007034,	2.20 
NM_031459,	2.20 
NM_013380,	2.20 
NM_032689,	2.20 
NM_173480,	2.20 
NM_020657,	2.20 
NM_181846,	2.20 
NM_004907,	2.20 
NM_013359,	2.20 
NM_020639,	2.20 
NM_182627,	2.20 
NM_018133,	2.20 
NM_001234,NM_033337,	2.20 
NM_018657,	2.20 
NM_001002026,NM_016369,	2.20 
NM_173552,	2.20 
NM_198469,	2.20 
NM_006079,	2.20 
NM_016487,	2.20 
NM_002648,	2.20 
NM_145111,	2.20 
NM_017715,NM_032924,	2.20 
NM_152739,	2.20 
