gene	comName	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	stressGene	mutantDep	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
53	YDL199C		-1.06051080190705	0.413276348562011	2.72070239456285	1.64859476098683	9.06094028925691e-06	0.000424002305767709	Upregulated	-	728.732164888421	247.241160729313	1545.00180615343	194.938677325935	534.449649927376	130.524403186861	121.180304202931	1384.13463808004	181.072699058241	525.317492062921	162.084525706036	498.833336257557
84	YDL169C	UGX2	-1.40817846886146	0.106640837836114	2.84205733845516	1.43122090189092	1.10664642446682e-05	1	Upregulated	-	108.27691990522	14.3032076454974	84.1532898670802	18.2755009993064	54.4781716973423	18.2978135308683	14.5416365043518	107.915581952003	12.3810392518456	56.7009356512359	27.9788764611609	65.3234130813468
86	YDL167C	NRP1	1.16406279624427	0.00192500494418567	-3.47287690539604	-2.30822761121245	2.83823868836697e-28	7.94785629399222e-27	Downregulated	Less downregulated	255.020640303084	2284.42659252373	202.493853742662	2591.64009409211	488.424987631345	2986.20316823771	2860.82462162281	204.101209344005	2151.20557000817	575.347729402246	2426.4439413731	570.095241437208
87	YDL166C	FAP7	0.615677187366697	0.976145872096556	-2.34210503354723	-1.72041258437005	2.22904804399777e-06	4.19410602485021e-06	Downregulated	-	170.963557745084	615.03792875639	99.9320317171578	570.021578787889	195.369995052538	722.153707351604	748.409558757305	123.164522880003	631.433001844124	190.114901889438	648.338102824143	209.331846465225
106	YDL150W	RPC53	0.26904881367313	1	-1.97841126998549	-1.70667976610279	0.001149055598271	2.28048858248571e-06	Downregulated	-	235.074891899491	737.636851432082	151.21294272991	692.728514068946	243.273214993305	833.160442772205	770.706734730644	153.662404736004	609.766183153394	262.65874603146	846.119815739247	229.374257297002
108	YDL148C	NOP14	0.586197743009512	1	-2.1149242863244	-1.52914584958763	0.000653998692939941	0.000609121103091589	Downregulated	-	326.255456030202	1056.39405038888	274.813087222184	1197.48044643074	414.221960664275	1346.71907587191	1390.18044981603	182.987291136005	922.387424262495	488.628651347415	1519.54242849409	520.36037011391
127	YDL130W-A	STF1	-0.419171642620625	1	2.34639281217563	1.92407643073783	4.706330902661e-05	2.20104978219856e-08	Upregulated	-	1143.31879242025	147.118707210831	690.319955940892	118.355625519317	533.510371105008	124.425132009905	169.652425884104	585.324732544015	154.76299064807	496.133186948314	148.5774818972	475.07936786434
129	YDL129W		1.98329537988084	1.25322725174421e-10	-2.43877013421654	-0.468678566909302	1.74800196539075e-07	1	Downregulated	Less downregulated	49.8643710089829	284.02083753202	61.800072246137	320.256398464035	232.941147947257	339.11947743876	346.090948803572	58.6497728000015	275.478123353564	246.815837540674	293.295808420446	216.754961588105
134	YDL124W		-0.585775158730552	0.870135365980386	2.73825529932738	2.14886388355279	4.78831373114806e-14	7.49141641605154e-27	Upregulated	-	16612.6713757213	1853.28704778088	14031.2461901815	2354.92884305348	10840.2168889488	2444.58788772401	2728.01100821639	13796.7725534724	2011.91887842491	10316.234939369	2027.98614901242	9491.93730762706
137	YDL121C		0.24949826637933	1	-1.82766437560726	-1.5800777716866	0.00470058288358523	1.25825308369571e-05	Downregulated	-	683.141882823066	1807.3124517775	582.498553298696	1877.15503121447	663.130848591788	2309.18406759558	2251.04533087365	424.624355072011	1891.20374571941	656.229946434156	1860.11289024546	725.980659017695
146	YDL113C	ATG20	-0.511648143178294	1	2.07441716744577	1.55716260283858	0.00537726232403155	0.00234698128895756	Upregulated	-	802.104025087353	134.858814943262	633.779464311448	150.555317756191	459.307344137938	156.141342130077	202.613468627301	462.160209664012	106.786463547168	496.133186948314	191.028191010685	527.041173724502
147	YDL112W	TRM3	0.36999536348025	1	-1.50891300408462	-1.14299321509016	0.0226148191119711	0.956064189718414	Downregulated	-	1150.44227399296	3560.4770460399	1193.9247999892	4350.43949978726	1780.87264720967	4323.16341022649	3472.5427972392	1263.31610611203	3129.30767090397	2102.10380554067	4012.55680006788	1930.00993194888
149	YDL110C	TMA17	-1.84712777862007	6.51874042066671e-06	3.40456665359217	1.55571466516995	2.69090243522229e-26	0.0343559772782098	Upregulated	Less upregulated	2080.76896738913	148.140364899795	1621.26572509547	109.653005995838	497.817775855025	197.616386133378	171.591310751351	1513.16413824004	168.691659806396	522.815980195954	178.485936045337	416.436758393586
176	YDL085W	NDE2	-0.317679293616387	1	2.67737359331179	2.34224708044309	0.00199343012333662	0.00886767160307325	Upregulated	-	59.8372452107795	10.216576889641	77.5788140962146	13.9241912375668	66.688796388126	10.978688118521	14.5416365043518	62.1687591680016	4.64288971944209	50.8640746283145	7.71831074790647	51.2194943478742
199	YDL063C	SYO1	1.13279696215726	0.0754938892728999	-4.54051539832869	-3.40561517223194	8.65086128936029e-37	5.06603139028085e-64	Downregulated	-	92.6052604452539	1644.86887923221	78.8937092503877	2259.20002829521	159.677399802555	2026.17788498482	2573.86966127026	77.417700096002	1536.79649713533	192.616413756404	1976.85234030754	243.478176030474
202	YDL060W	TSR1	0.978440081363579	0.0108415534874384	-3.62783107093011	-2.6464687100766	1.28610697757787e-37	5.53166080769221e-39	Downregulated	Less downregulated	188.772261676864	1984.05923196829	142.008676650698	1925.0194385936	305.265617269591	2338.46056924497	1996.08197083069	150.143418368004	1945.37079244624	358.550034265168	2202.61292968381	379.321182779184
225	YDL039C	PRM7	0.103461983188848	1	-3.9291877601028	-3.83100434643787	3.81018982191104e-16	2.13048892457008e-92	Downregulated	-	93.3176086025251	3335.71235446779	184.085321584238	1877.15503121447	108.017064572317	1716.33490919545	1901.07661233559	231.080104832006	2395.73109523212	131.746291660225	1508.92975121571	122.481399527525
226	YDL037C	BSC1	0.416944646332509	1	-4.04946574906617	-3.64276643845336	4.27119758522445e-16	1.28543966201705e-47	Downregulated	-	33.4803633917457	1300.5702380513	68.3745480170027	690.98799016425	46.9639411183986	623.345514284915	654.37364269583	77.417700096002	947.149502766186	48.3625627613483	525.809919701128	53.4464288847383
