gene	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
YDL248W	0.00706353244206933	1	0.179182437850558	0.174659946678042	1	1	64.1113341544066	126.685553431549	139.378886342352	90.5072430441839	89.2314881249573	57.3331490633875	77.5553946898761	167.738350208004	119.167502799014	82.5498916098875	83.9366293834829	95.015873572868
YDL247W-A	-1.24378658367381	NA	1.90802537539927	0.671658886340454	NA	1	0	0	1.31489515417313	0	0	0	0	1.17299545600003	0	0.833837288988763	0	0
YDL247W	-1.43902194464274	1	1.60094299117572	0.171658942517415	1	1	4.98643710089829	2.04331537792821	13.1489515417313	5.22157171408753	3.75711528947188	0	4.84721216811726	9.38396364800024	1.5476299064807	2.50151186696629	3.85915537395323	4.45386907372819
YDL246C	-0.621379390899808	NA	0.809104077168223	0.172136951526144	NA	1	0	0	1.31489515417313	1.74052390469584	0	0	0	0	0	1.66767457797753	0.964788843488309	1.48462302457606
YDL245C	0.118862525376971	NA	-1.13576152846781	-1.02892780814614	NA	1	0	0	0	1.74052390469584	0.939278822367971	0	0	0	1.5476299064807	0	0	0
YDL244W	0.378400042286832	1	-0.635176424860998	-0.278046541636094	1	1	4.98643710089829	7.15160382274872	11.8340563875582	17.4052390469584	21.6034129144633	19.5176677662596	19.388848672469	14.0759454720004	20.1191887842491	16.6767457797753	31.8380318351142	19.3000993194888
YDL243C	0.324946973410301	1	-0.314891129647879	0.00238432712087305	1	1	91.8929122879828	168.573518679077	142.008676650698	221.91679784872	201.005667986746	225.673033547376	144.446922609894	168.911345664004	181.072699058241	220.133044293033	173.661991827896	207.847223440649
YDL242W	-2.3194369600613	0.681767806972529	0.781896523570402	-1.54428531934218	1	1	4.98643710089829	6.12994613378462	6.57447577086564	8.70261952347922	0	2.43970847078245	1.9388848672469	8.21096819200021	3.09525981296139	2.50151186696629	4.82394421744154	2.96924604915213
YDL241W	1.14592912310199	0.0441793168478912	-1.09704877652036	0.0502826034385044	1	1	172.388254059627	225.786349261067	102.561822025504	350.715566796213	324.05119371695	292.765016493893	361.602027741547	139.586459264004	295.597312137813	347.710149508314	329.957784473002	350.371033799951
YDL240C-A	1.10615778650015	NA	0.394460229092859	1.50041472607902	NA	1	1.42469631454237	1.0216576889641	0	0	0	0	0	0	0	0.833837288988763	0	0.742311512288031
YDL240W	0.453235516562547	1	-0.646384210584566	-0.195663165635202	1	1	826.323862434574	1048.22078887717	703.468907482624	1390.67859985198	1160.00934562444	1529.69721118059	1454.16365043518	702.624278144018	956.43528220507	1219.07011650157	1290.88747258736	1339.8722796799
YDL239C	-0.472186306157403	1	1.72666053826716	1.2466370907743	0.0334643450046867	1	262.144121875796	106.252399652267	345.817425547533	120.096149424013	239.516099703833	102.467755772863	81.4331644243699	293.248864000008	80.4767551369962	270.997118921348	123.492971966504	322.163196333006
YDL238C	-0.281285407814004	1	0.983534589469235	0.694033001591198	1	1	138.19554251061	83.7759304950564	227.476861671951	121.836673328709	154.981005690715	89.0493591835593	88.2192614597341	161.873372928004	91.3101644823611	160.096759485842	103.232406253249	201.166419830057
YDL237W	0.0831198161622024	1	-0.436540402216171	-0.359829132614344	1	1	968.081145731539	2455.04342658074	1961.82357002631	1843.2148150729	1409.85751237432	1377.21543175669	1438.6525714972	1671.51852480004	2275.01596252662	1232.41151312539	1859.14810140197	1369.56474017142
YDL236W	-0.0172012471649861	1	-0.268372903670951	-0.289903576428252	1	1	1750.95177057257	2360.02926150708	2056.49602112677	2214.81666872546	2001.60317046615	2577.55199938165	2253.95365817452	2378.83478476806	2767.16227278749	1847.7834323991	1997.1129060208	1771.89757983153
YDL235C	-0.375168731567641	1	-0.155124990808493	-0.53335658624197	1	1	728.01981673115	559.868413552328	479.936731273192	717.095848734688	503.453448789233	707.515456526909	802.698335040218	496.177077888013	516.908388764553	446.102949608988	555.718373849266	436.479169225363
YDL234C	-0.51750078431075	1	1.82946493819409	1.31082310731467	0.000180739833276144	0.127929062377846	1459.60137424866	341.23366811401	1170.25668721408	425.558094698134	971.214302328482	486.721839921098	355.785373139807	1219.91527424003	377.62169718129	1139.85557404764	392.669059299742	1158.00595916933
YDL233W	0.0700099202462845	1	0.280500622691676	0.35130052055608	1	1	292.062744481186	208.418168548677	241.940708367856	229.749155419852	292.115713756439	224.453179311985	216.18566269803	239.291073024006	207.382407468413	322.695030838651	242.161999715565	285.047620718604
YDL232W	0.0542572559319657	1	-1.11112654445959	-1.06087306492176	1	1	535.685814267931	1393.54108774704	685.0603753242	1031.26041353229	535.388928749744	566.012365221527	1178.84199928612	736.641146368019	1614.17799245937	369.389919022022	1292.81705027433	498.833336257557
YDL231C	0.331489135716774	1	0.207616202274055	0.533688438902308	1	1	1461.73841872047	1847.1571016471	2310.27078588219	1711.80526026836	2402.67522761727	1557.75385859459	1467.73584450591	2277.95717555206	1874.17981674812	2126.28508692135	1519.54242849409	2493.4243697755
YDL230W	-0.262464852901896	1	1.40241403777369	1.13509721001525	0.202200083258205	1	997.999768336929	367.796768027077	1005.89479294244	363.769496081432	908.282621229828	426.948982386928	379.05199154677	893.822537472023	337.383319612792	825.498916098875	339.605672907885	774.973218828705
YDL229W	0.430988608385747	1	-0.884935020332039	-0.458753861475602	1	1	15857.5823290138	60775.3509434076	34413.4359750191	44170.1453914188	32472.7474469055	40045.3748394231	34203.8679431026	31792.8688394248	55202.41113426	31559.0737136467	45236.0545046363	31327.7727530918
YDL228C	0.880451136778988	1	-0.886976925564778	-0.0181195439489486	1	1	9.2605260445254	27.5847576020308	28.9276933918088	31.3294302845252	28.1783646710391	21.957376237042	25.2055032742097	28.1518909440007	68.0957158851506	28.3504678256179	17.3661991827896	14.8462302457606
YDL227C	1.76459021599923	3.65275263566732e-07	-2.85690944773342	-1.08947131607439	1.22153010157938e-12	1	79.0706454571014	504.698898348267	56.5404916294445	472.552240124922	209.459177388058	495.260819568836	553.551629598991	69.2067319040018	422.50296446923	205.123973091236	486.253577118108	275.39757105886
YDL226C	0.0348546698771871	1	-0.10887398877627	-0.0764317227215064	1	1	1813.63840841244	1565.17957949301	1381.95480703596	1670.90294850801	1538.53871103874	1646.80321777815	1705.24924074365	1316.10090163203	1550.72516629366	1615.97666606022	1556.20440454664	1524.70784623962
YDL225W	-0.0586901409418683	1	0.244467295036983	0.183866420484817	1	1	1275.10320151542	768.286582101005	873.090382370957	701.431133592425	830.322478973287	789.245690298121	930.664736278513	740.160132736019	716.552646700562	948.072997580224	904.971935192033	973.912704121897
YDL224C	0.096518216950776	1	0.476327524792253	0.567636816182831	1	1	1967.50561038301	2816.71024847403	3913.12797881923	2141.71466472824	3281.84020535369	2037.15657310334	1566.6189727355	3879.0959729921	2567.51801485148	3224.44879651955	2137.97207717009	2975.18454125043
