name	comName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR210W	CLB4	396.891355932905	-0.0462493169912781	0.138723160707237	0	1	1
YLR211C	ATG38	48.7617553784802	-0.129645219221844	0.193675114150651	0	1	1
YLR212C	TUB4	1169.84140844265	-0.0306417903290369	0.169500116865635	0	1	1
YLR213C	CRR1	131.439086921759	0.0798193160550424	0.170052168339624	0	1	1
YLR214W	FRE1	3952.58195274587	-0.149712402366673	0.148692934467521	0	1	1
YLR215C	CDC123	622.334124456395	0.080215139144831	0.157333384018053	0	1	1
YLR216C	CPR6	2114.20293269206	0.0775237031955879	0.146604893452187	0	1	1
YLR217W		1.34415627869189	-0.0259606180548714	0.0875319946370655	0	1	1
YLR218C	COA4	72.1128830517858	0.030033115617593	0.187824100908604	0	1	1
YLR219W	MSC3	786.579908947942	-0.178420054817531	0.159258404057056	0	1	1
YLR220W	CCC1	1130.60971519286	-0.283905101802083	0.169124958473958	0	1	1
YLR221C	RSA3	752.138244525229	0.0223592198491187	0.153681319889787	0	1	1
YLR222C	UTP13	2101.39617757521	0.12773456696503	0.124885377958468	0	1	1
YLR222C-A		13.5425850432974	-0.160921205104035	0.184402244920883	0	1	1
YLR223C	IFH1	671.672393964269	-0.00352521146537078	0.161631974828086	0	1	1
YLR224W		1562.1864305947	0.0316367038025409	0.124126487357634	0	1	1
YLR225C		429.536350805944	0.0948446861740074	0.163681569563557	0	1	1
YLR226W	BUR2	345.029800764312	-0.0195561229255192	0.173504502918412	0	1	1
YLR227C	ADY4	183.541925002081	0.0932031523172584	0.182066978095899	0	1	1
tL(UAG)L1		62.0939493331998	0.473940102359837	0.195281228931291	0	1	1
YLR227W-B		567.291504823427	0.769947033532534	0.135870250878822	0	1	1
YLR227W-A		0	NA	NA	NA	NA	NA
YLR228C	ECM22	1082.22593918475	0.413972441194967	0.148421312638472	0	1	1
YLR229C	CDC42	3622.95839277418	-0.309282095279196	0.160626752014267	0	1	1
YLR230W		1.0450936012411	-0.0960364823210222	0.0702861452524717	0	1	1
tI(UAU)L		1.49743905398114	0.0705500046060533	0.0998897874207056	0	1	1
YLR231C	BNA5	1917.3547445327	-0.0457222863595	0.15467448916911	0	1	1
YLR232W		2.74661124351624	-0.101769496062042	0.125247867837711	0	1	1
YLR233C	EST1	203.04541973062	0.0641299811580009	0.161627043114483	0	1	1
YLR234W	TOP3	133.816043907441	0.202611229287585	0.194742093437872	0	1	1
YLR235C		0.985114486187316	0.0679826517548594	0.074586521526186	0	1	1
YLR236C		1.37954236957255	0.0889694300714065	0.0935254624523188	0	1	1
YLR237W	THI7	956.797638390551	0.166019142283423	0.175079533160048	0	1	1
