	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	group
01NB70_02831AAA_TCAGGA	-18.6518571418338	-4.82356692787028	0.594563187017252	-3.8939334666037	0.312670645279326	0.726401147401291	-1.68368912357584	-0.965950582421665	-0.642590839554082	0.165192953732211	-0.016645885695039	2.24958940364672e-14	basal:WT
02NB70_02832AAA_GATCAC	30.6576505899084	-6.97252663603418	1.32673324538174	1.5459433225456	-0.87468793393409	-1.93616440881941	-0.558564416606334	-1.24891255222693	0.233514077369726	-0.313178852056288	-0.333250340369315	-9.68149171942656e-15	salt:WT
03NB70_02833AAA_GTCAGG	-16.619396192087	-5.75349229845178	4.00748168533103	-0.52468434692747	0.830182760914355	-1.50430094072478	-0.0199647762513796	1.54638873967699	0.0320061328424841	-0.148685000951207	0.683316033750856	1.72284062016637e-14	basal:WT
04NB70_02834AAA_TTAACT	28.0258295620732	-5.82881387078064	-3.89254694511961	-4.08997817363049	-0.17168249675561	-0.0374954627549534	1.09484261351033	0.599119176055253	0.313577709957184	-0.113736565944333	0.0798957936881475	-1.63289520793697e-14	salt:WT
05NB70_02835AAA_TGCACG	-17.4837136658557	-5.01781695521441	3.60622001296024	-0.0183933885175127	-0.091883169179161	1.18165874038061	1.67349464138994	-0.671163038054461	0.765048490537077	0.138853586611505	-0.701622314758664	2.1768177538295e-14	basal:WT
06NB70_02836AAA_TATGTC	31.6755196270082	-6.53440153984572	0.881036180346218	2.79435449411471	0.823649079108409	1.98019410379809	-0.524427203646347	0.637075526386967	-0.497320970258125	0.443511363616013	0.245066625884889	-1.6904880273394e-14	salt:WT
07NB70_02837AAA_CCTAAG	-19.0292287815132	-1.30675037693182	-2.31231681303934	1.75297808730348	-1.27408754168789	-0.212205505875184	1.0854417159319	-0.816031579453383	-0.979662177334291	0.229610545023437	1.09941843145504	2.40528083561564e-14	basal:HOG1_KO
08NB70_02838AAA_GTGTAG	7.72632973459147	12.6255857461826	1.49288132811181	-0.5125694513367	-0.645549389834414	-0.187729334473906	0.454743801057845	0.52499372299312	-1.48710127854206	-0.460992594800862	-0.875032574448977	5.51642065360625e-15	salt:HOG1_KO
09NB70_02839AAA_GGAGGT	-19.2212510343558	-1.11406901184539	-4.11690647407742	1.87908613598801	2.72039409105588	-0.807409809072146	-0.0795286857654489	0.0988069357240376	0.00255861069283779	0.331782932220689	-0.8098870599555	1.61979804569334e-14	basal:HOG1_KO
10NB70_02840AAA_GGCTGC	6.70855542442371	12.6643942885699	0.233536388487683	0.0621886215703312	1.80936643904885	0.530095887858938	-0.074006731948407	-0.674927262608212	0.725203387502289	-1.13485510130125	0.75164328989359	8.35182617509034e-15	salt:HOG1_KO
11NB70_02841AAA_TGTGCA	-19.1302119251989	-0.717637301392938	-2.23694934369178	1.4425652516321	-2.56707607877583	0.661814403602698	-0.980464048328095	0.861205554220125	0.753462157457001	-0.78018044086464	-0.274709216013651	1.40538622406261e-14	basal:HOG1_KO
12NB70_02842AAA_CCGCAA	5.34177380283944	12.7790948836146	0.416267548292188	-0.437557086138355	-0.87129640523982	-0.394858821321258	-0.387877785768172	0.109395359708167	0.781304699329953	1.64267717471472	0.151807216568619	1.77202003071031e-15	salt:HOG1_KO
