	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	group
03NB70_02833AAA_GTCAGG	-26.0342388392321	2.1869398044225	-5.45794699644832	3.01284073507664	0.661044348902851	0.226157264552379	0.466759985351833	1.78277961554706	1.04460474059166	1.13120065272212	-0.19166824495844	-0.918542378604271	0.448495011493599	-0.0069515208237992	-0.674433848918708	-0.0783672002133415	0.114954228829115	0.313482549003869	-0.322387359981065	-0.0314307162994362	0.12452777989958	-0.0986379663379213	0.0133641717982851	-0.0213365699844259	-0.0228710683614514	-9.25550868585701e-15	-4.16333634234434e-16	-3.04201108747293e-14	5.34641775296052e-15	4.96824803519758e-15	basal:S_cerevisiae_Mariona_with_mutant
04NB70_02834AAA_TTAACT	24.5868527939087	-2.62895899195258	5.5037997865347	-6.3622599936019	1.49630789130776	1.26162328477331	-0.899056310159751	0.274872964060844	-0.814231814276335	1.07176211074679	-0.0961200396087453	-0.388214173625094	-0.43682551853122	0.0944575270406134	0.131382115475551	-0.23717053163155	-0.134149431310014	0.213861204081715	-0.198181388621314	-0.103024347889532	0.16442899230577	-0.274991294232518	-0.0564363869378634	0.0266896511321067	0.0145037332909305	-2.05011788795284e-15	-2.55351295663786e-14	2.70339306496226e-14	6.85215773010839e-15	-6.00214322687975e-16	salt:S_cerevisiae_Mariona_with_mutant
05NB70_02835AAA_TGCACG	-26.8777485374043	1.78209082148639	-5.97979647682822	2.77938946924821	0.438659266109503	-0.552068501302212	1.13057978877115	-1.1397933444962	-1.55167600411153	0.374286314899689	0.380410745245894	0.438687806350503	-1.11222285507488	0.0184299543504598	0.704657595511798	-0.248240513243283	-0.469976844381559	-0.00534556217205046	0.0698076782069004	0.193860616903927	-0.0764110477604863	-0.0153432511756671	-0.101808556611389	0.00104540821338651	-0.0100948295277871	-8.14588197242672e-15	1.06858966120171e-15	-2.76445533131664e-14	5.58407486916934e-15	4.32119617865823e-15	basal:S_cerevisiae_Mariona_with_mutant
06NB70_02836AAA_TATGTC	29.2050774535323	-1.37346438919792	5.97015788553738	1.38383911895534	-2.87535331725752	-1.46593391166907	0.953325427736556	0.43814256936994	-1.34799670788917	-1.23831803856123	0.329074552529302	-0.113503517659443	0.465616939771247	0.107366880156861	-0.534125464570556	0.418757137376017	0.530699282395529	-0.0205577118956641	-0.472971361795819	0.00776780448386203	-0.178881387828177	-0.0535484467446646	0.0654402766888889	-0.0952261888343363	-0.00954027814602767	-1.51728673028484e-15	-2.74641420716648e-14	2.69159694532561e-14	7.57727214306669e-15	-1.53869972319143e-15	salt:S_cerevisiae_Mariona_with_mutant
46_17739_CCGTCC	-36.2585770851498	2.77117128888157	4.92803442047903	0.514887709026038	2.17012184365998	-0.683087293734774	1.03357378197423	-0.527545565582004	-0.0262565267126358	-0.322663773579711	-0.0243597430051507	-0.303988481433987	-0.463544448063349	-0.527705856094262	-0.56747560148189	-0.783081578785624	0.687172251518132	0.271043680210901	0.417747950391985	-0.78188620559367	0.500542909094432	0.343192764787053	-0.0924133938516297	0.0429996776367926	-0.0344707618007523	-6.40286434983039e-15	-1.20042864537595e-15	-5.31519273039294e-15	-1.14231540893073e-14	2.60728938439314e-15	basal:S_cerevisiae_Santi
47_17740_CGTACG	-34.13159771098	3.37621215325144	4.63910686365979	1.91532317121093	0.658039225490316	-0.0682780064211091	-0.839294427683187	0.716885091173129	-0.0363317052246084	0.500425374612448	-0.666788367656093	0.62886492915994	-0.218739369386154	-0.304515855541332	0.440672853205293	0.445249694199516	0.190555643913351	-0.770282842105108	-0.0517981085281281	0.0120652547077208	-0.654025315613356	-0.925322644092483	0.19969151719638	-0.0428030082567652	-0.0142707193980023	-1.00835680950928e-14	2.92821322744885e-15	-2.29052887767978e-14	-8.8106605344862e-15	2.6402491304367e-15	basal:S_cerevisiae_Santi
48_17741_TGACCA	-34.7536108829944	2.66611356954939	4.79583220627384	0.989815812289488	1.24373027431271	-0.0711056656102447	-0.803164664430623	-0.177948168743603	-0.0613312364402479	-0.00311582271375766	0.754759980062805	-0.225716707816604	0.695653154645323	0.805867644032394	0.230852984846129	0.372031736474633	-0.919045283337189	0.485689550552532	-0.342879371332918	0.722108800293037	0.202451757947154	0.613798151108493	-0.0772191481639833	-0.0278998770235217	0.0567774402295718	-1.22301664238697e-14	2.14064876935538e-15	-2.53026766205977e-14	-1.00796107571632e-14	4.38971775595931e-15	basal:S_cerevisiae_Santi
49_17742_GTCCGC	36.1151413425595	-2.82213344923494	-5.07557045365344	-0.262191412166676	-1.75669286342553	0.79895722747054	-1.17886015294648	0.214941856238836	-0.4916015938907	-0.00482064907549014	-0.0186370783296682	-0.853264737267667	-0.764084727956075	0.600808626071456	-0.783461559366346	0.189339025982765	-0.0244280353040844	-0.861863425719081	0.537916638310451	-0.00400053427771866	-0.277103744173047	0.528627012562201	-0.0401560836407963	0.0452088810091871	-0.0725634263949564	-3.32908342819821e-15	-2.4605317783255e-14	9.9625169225348e-15	-4.32900243430012e-15	-2.19702728232463e-15	salt:S_cerevisiae_Santi
50_17743_TTAGGC	35.6066802792702	-2.58074040777976	-4.72178251660446	-0.605648486010535	-1.67504822314495	0.592351121149037	-0.291860138306571	-0.0505417067966545	0.464541404530417	-0.885315585264903	-0.114944259882415	0.435153605572576	-0.327626150146609	-0.953391703264087	-0.234013317415074	-0.125381900439395	-0.700293091490548	0.593695532221429	-0.774882426417092	-0.0338871419255723	0.526606857565994	-0.579970690843573	-0.0190496639653765	-0.0165097165884716	0.0417685759700927	-8.6896093619282e-16	-2.6180446699442e-14	1.44051437445114e-14	-3.86409654273834e-15	-4.47558656802016e-16	salt:S_cerevisiae_Santi
51_17744_ACAGTG	33.4219640572945	-3.4106231546677	-4.56562052015478	-2.55218679434924	-0.640150256892528	-0.568837382853451	2.07960560139264	-0.175791506289713	0.150979657737783	0.715490456021414	0.0699694688105222	0.318951391785743	1.07834154090686	0.378937144795831	0.913424640211891	-0.0981569774318928	0.766038514700335	0.281717504839312	0.213895317575701	0.085599826796202	-0.29847246482117	0.0196754064783071	0.0291467724254115	-0.000995956777215833	0.0227588913940443	2.80274393103797e-15	-2.37657116208823e-14	1.10605968828281e-14	-4.12950923456279e-15	-1.0998146837693e-15	salt:S_cerevisiae_Santi
