ensembl_gene_id	external_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	1_13462_CGATGT	2_13463_TTAGGC	3_13464_GATCAG	7_13468_ATCACG	8_13469_GCCAAT	9_13470_ACTTGA	34_17727_TAGCTT	35_17728_ACTTGA	36_17729_GAGTGG	37_17730_GGCTAC	38_17731_CAGATC	39_17732_ATCACG	1_17697_ATCACG	2_17698_GAGTGG	3_17699_ACTTGA	7_17703_TTAGGC	8_17704_GTCCGC	9_17706_TAGCTT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	46_17739_CCGTCC	47_17740_CGTACG	48_17741_TGACCA	49_17742_GTCCGC	50_17743_TTAGGC	51_17744_ACAGTG
15S_rRNA		16.9358123426518	0.245847464321069	0.379412442592839	0	1	1	4.96896655301542	7.26912562630145	10.1246461225431	17.738488180496	68.6226562239694	11.1485715558296	17.1705315562076	7.37623103336742	25.4083505193837	18.4190852330816	35.3591288618974	4.88957474674891	76.3934377350207	17.663347637787	11.3864336034067	17.6282126837039	14.9787836111545	13.6567125787494	15.2015188429935	5.31970019230898	30.2375194266134	5.45978403953768	5.78005611411186	13.3742312084559	2.91243797041362	5.21862431479939	6.10256871987716	6.14621894631394	18.1680298383922	13.9513966030713
21S_rRNA		48.210496614488	-0.0800076776629386	0.319212234135135	0	1	1	21.7870071939907	21.8073768789044	29.2057099688744	53.6481105946707	221.363407174095	26.1562640348309	34.3410631124153	30.9801703401432	22.5852004616744	9.91796897165931	26.8729379350421	15.6466391895965	128.777509324749	28.2613562204593	17.8929670910677	26.9062193593375	21.2199434491356	28.6790964153738	78.1792397639664	74.4758026923258	142.294209066416	84.2366680385814	113.289099836593	56.4689762134806	26.2119417337226	11.4809734925587	24.4102748795086	11.0631941033651	33.7406268427284	24.4149440553748
HRA1		48.4475718070764	0.559929241162593	0.201528739680968	0	1	1	182.322849676027	176.754528386909	227.415128290969	185.605156815433	186.387988840588	225.544178398706	2.64162023941656	8.85147724004091	16.9389003462558	19.8359379433186	19.8011121626626	10.7570644428476	10.9133482478601	17.663347637787	14.6397003472372	34.3286246998444	27.4611032871167	24.582082641749	1.08582277449953	6.64962524038623	0	0.779969148505383	1.15601122282237	4.45807706948531	2.91243797041362	9.3935237666389	2.44102748795086	17.209413049679	9.0840149191961	5.81308191794639
ICR1		548.89841769777	0.824207161700732	0.125682345780203	0	1	1	532.443877565421	541.741151939098	508.958172390919	812.941933930535	824.800055130677	842.574734892504	380.393314475985	348.158104774942	412.179908425558	804.772339414641	685.96709992081	724.634977468188	345.953139457165	201.362163070772	387.138742515828	758.013145399266	775.152051877247	756.581876862719	259.511643105388	418.926390144332	448.22675855921	260.509695600798	479.744657471285	573.605916273777	327.649271671532	395.571723061794	328.318197129391	849.407458380587	798.095596472229	683.618433550495
LSR1		123.283424588224	-0.924617724613561	0.223691797394717	0	1	1	104.73052580971	135.052702425495	101.246461225431	70.521306668801	228.447036203666	68.1778029760347	126.797771491995	178.504791007492	200.44365409736	123.266185790623	99.0055608133128	69.4319614038345	280.473049970004	107.157642335908	187.062837770253	47.3178340457314	57.4186705094257	57.3581928307477	114.011391322451	142.301980144265	288.145773359492	49.9180255043445	142.189380407152	153.060646052329	126.691051712992	138.815406773664	159.887300460782	46.711263991986	68.7789701024847	25.5775604389641
NME1		39.2218489141039	0.47189905271155	0.263428358677908	0	1	1	24.4626045686913	40.1714837242975	22.9751585088479	20.3343644995929	92.0871773844234	37.3048355906605	26.4162023941656	29.5049241334697	22.5852004616744	85.0111626142226	38.1878591708492	44.0061727207402	84.0327815085227	49.4573733858037	39.0392009259659	25.9784186917741	43.6881188658674	28.6790964153738	10.8582277449953	91.7648283173299	19.5654537466322	33.5386733857315	16.1841571195132	47.55282207451	23.299503763309	46.9676188331945	46.3795222710664	39.3358012564092	29.8474775916443	17.4392457538392
PWR1		39.9409537823526	-0.0614944369921181	0.515354611573737	0	1	1	159.771386089265	131.226846832705	138.629769985591	228.869762133716	237.744299304978	264.135387630424	2.64162023941656	1.47524620667348	1.41157502885465	0	5.65746061790359	0	5.45667412393005	1.1775565091858	4.87990011574573	1.85560133512672	0	0	0	1.32992504807725	0	0.779969148505383	1.15601122282237	1.48602568982844	0	0	8.54359620782802	0	0	0
Q0010		0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0017		0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0032		0.0832154645064141	0.117850952452175	1.08107317843976	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49646393519242	0	0	0	0	0	0	0	0	0	0	0	0	0
