V1
ACC	90
BLCA	408
BRCA	1080
CESC	295
CHOL	36
COAD	451
COADREAD	616
DLBC	48
GBM	577
GBMLGG	1090
HNSC	522
KICH	66
KIRC	528
KIRP	288
LAML	191
LGG	513
LIHC	370
LUAD	516
LUSC	501
OV	579
PAAD	184
PCPG	162
PRAD	492
READ	165
SARC	257
SKCM	367
STAD	441
STES	625
TGCT	150
THCA	499
THYM	123
UCEC	539
UCS	56
UVM	80
