	(Intercept)	Broad_conservation	cpb	Disorder	DM	gc_UTR5	gc_CDS	gc_UTR3	halfLife	length_UTR5	length_CDS	length_UTR3	nTf	PPI_degree
downregulated	-0.672101178816457	-0.555454935425089	0.176158959184158	-0.367255054698599	0.102273597155798	-0.0624951707726023	0.484899518241329	-0.376990449048512	-0.923369732546268	-0.146828892060645	-0.114582670813994	0.0608678983865248	0.0835052820224267	-0.675806646623179
upregulated	-0.654509649394845	-0.725850092711012	-0.12000327237468	-0.220237724913691	0.0538608399179981	-0.0692176366222421	1.13380390063894	-0.392720263076719	-0.927118331586293	0.0060870273916324	0.149619187793704	-0.580428545408673	-0.0237761522595625	0.0212764961301276
downregulated_standardErrors	0.22590791510637	0.189550730053239	0.1655061257751	0.180327632998575	0.162792790993016	0.155157004036287	0.231981163482391	0.236673031510581	0.268665878242883	0.147129240966526	0.187300563911248	0.156535879871728	0.142152360462465	0.357241317450115
upregulated_standardErrors	0.222866871526918	0.195647002081136	0.16279422121151	0.164259392606378	0.162987154536822	0.154959098964955	0.236189587608544	0.223046330326256	0.250137601232238	0.114823891787777	0.157826979957432	0.205334581087894	0.137154852213235	0.153895016491021
downregulated_pValue	0.00292882313683074	0.00338551936342357	0.287163296191329	0.0416902555154679	0.529844098433285	0.687105178710936	0.0365950032396785	0.111188336195818	0.000588477691083167	0.318299431909336	0.540697696292143	0.697392208130608	0.556911545238612	0.0585260203155176
upregulated_pValue	0.0033164562338559	0.000207260439939905	0.46103295771661	0.179987904605698	0.741051925975939	0.655103764936257	1.58351024914793e-06	0.0782872269223065	0.000210198571679809	0.957722462838067	0.343131999852892	0.00470237249964534	0.862374269056362	0.890040220654323
