	(Intercept)	Broad_conservation	cpb	Disorder	DM	gc_UTR5	gc_CDS	gc_UTR3	halfLife	length_UTR5	length_CDS	length_UTR3	nTf	PPI_degree
downregulated	0.427856467783741	-0.0226124946888958	6.20230866954932	-1.77613221758698	0.306197667420405	-0.574748103471139	5.67754328605123	-3.58970291251697	-0.149254134467557	-0.00059781009029193	-7.78902999581245e-05	2.96423895938187e-05	0.00298501529558468	-0.00671116564828746
upregulated	-2.40217535164231	-0.0295502323669164	-4.22713403618902	-1.06513890788406	0.161263063972815	-0.6365764095616	13.2751795294719	-3.73961969136116	-0.1498652476182	2.48413275254924e-05	0.000101690723049122	-0.000282748239290947	-0.000850209185169668	0.00021114762652557
downregulated_standardErrors	0.120703991395858	0.00748612797951953	0.0118075370919809	0.0244038578854613	0.0193797177197651	0.0865457535361681	0.0764866638779117	0.0664742130363757	0.0408739466605168	0.000580939296743533	0.000117523067698603	7.27172770970965e-05	0.00387169319548784	0.00346004397535014
upregulated_standardErrors	0.127050186217388	0.00768484340350128	0.0125289597897378	0.0254876553164283	0.0220385971877294	0.0902860498439777	0.0792401258412823	0.0697221140090214	0.037555534326001	0.00044780579885405	9.81903432501903e-05	9.63939900745125e-05	0.00374630702449292	0.00150183027522781
downregulated_pValue	0.000393096876215582	0.00252285904617833	0	0	0	3.11617398551789e-11	0	0	0.000260640616233321	0.303460622913105	0.507480396982212	0.683538813563935	0.440716141492716	0.052426058812715
upregulated_pValue	0	0.000120423951198712	0	0	2.52908805009611e-13	1.78079773149875e-12	0	0	6.59349790590458e-05	0.955761290216028	0.300365960095733	0.00335427308538727	0.820465775628927	0.888191056270248
