	unresponsive	downregulated	upregulated	MeanDecreaseAccuracy	MeanDecreaseGini
Broad_conservation	-0.890646194253628	5.46731584001427	4.46629668242693	0.811709897155275	30.5661970201789
cpb	8.63144266046038	0.53518096106094	-1.03420001308483	8.37962673967001	37.6967528551762
Disorder	9.97539523893147	2.73637980104221	-2.50862358210603	9.725371023928	31.6044419740021
DM	4.17776360733152	-0.759742212383566	-0.898790713194847	3.80339528050698	33.2388124460977
gc_UTR5	11.1586204401844	1.26820323085367	-2.31415765547245	10.7201854135893	38.3171130033486
gc_CDS	24.8902688442161	0.137491442102729	5.4010292005699	25.426069649826	40.9171123218855
gc_UTR3	23.3225724543856	-2.87042234757553	-3.12755843454655	22.9176612990912	33.9838501017709
halfLife	19.2471362049449	24.813274161195	24.6664493078792	25.0780661618822	54.4537723897537
length_UTR5	4.94643009887721	1.97533762573518	1.64961887007028	5.43313548159716	37.8210484330956
length_CDS	7.72632589415316	2.22821156243529	3.31778432239725	8.57555754371799	37.3912862080279
length_UTR3	8.68189751758787	2.98035600879867	2.13270508123526	9.07798329255397	38.2230994164561
nTf	1.36423598233824	-0.0560187011396134	4.97525931840453	2.25936061826753	35.5586049784772
PPI_degree	17.8989717001832	-1.93984432534804	-3.94530776531458	16.7485906866652	31.831391588055
