	unresponsive	downregulated	upregulated	MeanDecreaseAccuracy	MeanDecreaseGini
Broad_conservation	11.3437539407836	4.64073240718631	7.24654371887979	13.6881246154172	20.7916243884206
cpb	1.12117015009746	0.970911560463726	1.53905191338674	2.15502524920893	14.5379287536139
Disorder	0.303912941798267	2.49212142951134	3.9985669715498	4.63398515094566	14.8316529202244
DM	0.639607170454278	-0.85456773106643	-1.16811027398191	-0.853421143455652	13.5167331970078
gc_UTR5	0.135767129358831	5.23449367901527	1.36121917423033	3.68954192813788	14.9047011239385
gc_CDS	10.4896847824623	5.87013823163637	13.5963901909224	16.8823969625128	23.4019118807506
gc_UTR3	1.29994784369259	4.13841333194055	1.29926138304002	3.81490765544909	14.2812341867606
halfLife	27.193157779541	9.40185978184087	11.4115338432232	27.0136976756266	30.6132402344898
length_UTR5	0.144753500071638	3.76973609321217	-1.06316308929632	1.52178792866732	13.8520321433572
length_CDS	-1.12919732834702	9.08539408081086	6.13916042408024	7.86616677653134	16.7299245253098
length_UTR3	-0.947393721033067	10.1113831686789	10.081642495112	11.7724100460876	21.431615162422
nTf	4.77298649225746	-0.778210250428977	2.50302018335146	3.83964769055136	14.4569581372912
PPI_degree	5.03137524545478	2.08500293811425	-0.818148075362495	3.51918925768729	14.1900965256044
