Property	Observations
Broad conservation	15714
Codon Pair Bias	20973
Disorder	18191
Distance-to-Median (mRNA variability)	16052
GC content 5'UTR	19331
GC content CDS	20973
GC content 3'UTR	19319
Half-life	10414
Length 5'UTR	19331
Length CDS	20973
Length 3'UTR	19319
Number of transcription factors	20274
Protein-Protein Interaction degree	16541
