	(Intercept)	Broad_conservation	cpb	Disorder	DM	gc_UTR5	gc_CDS	gc_UTR3	halfLife	length_UTR5	length_CDS	length_UTR3	nTf	PPI_degree
downregulated	-5.35902542372689	-0.6013049979321	0.0911488192347804	-0.344587843231302	0.0310389271130227	-0.314052320121401	0.348999240670452	-0.288019446608352	-1.72203737519526	-0.192207542246394	-0.213470691382614	0.156863917574554	0.0291684655848671	-0.386125199890057
upregulated	-5.03797045676621	-0.628016978101001	-0.14444875048474	-0.103724557875888	0.0271340077260431	-0.289796676648465	0.886598955865166	-0.286668841853922	-1.35979579421394	0.0546980408521211	0.0823386710871685	-0.413997766546323	-0.0419648443669397	0.123386207137982
downregulated_standardErrors	0.247636116018583	0.14741786700759	0.101017908415877	0.120878110797663	0.0966490185075215	0.0984444162495692	0.13887576922507	0.14686714098008	0.369694395348254	0.114330073653227	0.136742279573142	0.0728461090827766	0.0919268498427676	0.281191582754093
upregulated_standardErrors	0.190927617631068	0.142089731936085	0.0868526134990612	0.0874616902418316	0.0902683171122952	0.0889147107810966	0.124762437073854	0.115557617572651	0.262608767171045	0.0663615065285938	0.0850215705037228	0.14004885186088	0.0783141459117025	0.0612281081998703
downregulated_pValue	0	4.52463104643197e-05	0.366895630523534	0.00436224108636929	0.748095977485584	0.00142199638371476	0.0119698504785022	0.0498687115958549	3.19292514516789e-06	0.0927311687367132	0.118496157834593	0.0312903749865059	0.751015349030316	0.169698006855522
upregulated_pValue	0	9.87640421912239e-06	0.096282813498348	0.235644907125202	0.763725009499555	0.0011170095960833	1.19193543923757e-12	0.0131108574902663	2.24242461488444e-07	0.409801210986374	0.332822431601485	0.00311560707703684	0.592060375827643	0.0438848547804478
