ensembl_gene_id	external_gene_name	log2FoldChange	lfcSE	padj	stressType
YOL162W		0.574117441207565	0.111962584309129	1	unresponsive
YOL163W		0.689828872452452	0.133305385566139	1	unresponsive
YOL164W	BDS1	0.482970937237694	0.0771767595988936	1	unresponsive
YOL164W-A		0.866212131230754	0.425385639686267	1	unresponsive
YOL165C	AAD15	0.552766534752338	0.221406745967282	1	unresponsive
YOL166C		1.19056189645658	0.692889293163873	1	unresponsive
YOL166W-A		0.188582846891681	1.0947915931251	NA	unresponsive
YOR001W	RRP6	-1.66576501695166	0.0800554482175196	8.53382843845599e-16	downregulated
YOR002W	ALG6	0.0065840228574405	0.104010996778956	1	unresponsive
YOR003W	YSP3	1.03535018235887	0.0898804711338292	1	unresponsive
YOR004W	UTP23	-5.37308980387983	0.192118675856397	5.49646837590394e-113	downregulated
YOR005C	DNL4	1.20615513892587	0.0703059703215209	0.0178291021822429	upregulated
YOR006C	TSR3	-0.772944698227046	0.146205960754721	1	unresponsive
YOR007C	SGT2	-0.134437192184972	0.0593000818916186	1	unresponsive
YOR008C	SLG1	0.174034934767853	0.0805992040135892	1	unresponsive
YOR008C-A		-0.187278216833245	0.509086037235985	1	unresponsive
YOR008W-B		-0.171736196344809	0.151345416191109	1	unresponsive
YOR009W	TIR4	-0.420173104440818	0.0940207904960409	1	unresponsive
YOR010C	TIR2	0.0173118225165447	0.11912929132712	1	unresponsive
YOR011W	AUS1	-0.693926526555862	0.108826084601613	1	unresponsive
YOR011W-A		-0.208611824903876	0.851452503462592	NA	unresponsive
YOR012W		0.355848740148199	0.140859344460108	1	unresponsive
YOR013W	IRC11	0.0964093250061463	0.121882075755272	1	unresponsive
YOR014W	RTS1	0.581934406385578	0.0820519579943734	1	unresponsive
YOR015W		0.563812493572362	0.0889648716451621	1	unresponsive
YOR016C	ERP4	-0.649133544063717	0.0985145691866884	1	unresponsive
YOR017W	PET127	0.3196161979786	0.0663417953077839	1	unresponsive
YOR018W	ROD1	1.53315569586252	0.0541048803616351	7.28944933271498e-22	upregulated
YOR019W		1.7527490914161	0.113651585857736	2.75828189526032e-10	upregulated
YOR020C	HSP10	-0.2634003878658	0.0891289825282468	1	unresponsive
